Age Group,Male,Female,Date
0-9,1,3,2022-02-23
10-19,1,1,2022-02-23
20-29,9,3,2022-02-23
30-39,29,17,2022-02-23
40-49,50,31,2022-02-23
50-59,132,83,2022-02-23
60-69,303,152,2022-02-23
70-79,677,350,2022-02-23
80-89,1010,706,2022-02-23
90+,537,631,2022-02-23
