Jurisdiction,Total resident cases as at 23 Nov 2022,Total resident cases as at 30 Nov 2022,Date
National,2527,3075,2022-12-06
NSW,914,1118,2022-12-06
Vic,597,820,2022-12-06
Qld,406,403,2022-12-06
WA,312,262,2022-12-06
SA,278,391,2022-12-06
Tas,10,45,2022-12-06
ACT,10,13,2022-12-06
NT,0,23,2022-12-06
