Jurisdiction,Active,Recovered,Deaths,Date
Australia,81,76,13,2021-12-17
ACT,0,0,0,2021-12-17
NSW,21,15,3,2021-12-17
NT,0,0,0,2021-12-17
QLD,3,8,0,2021-12-17
SA,0,1,0,2021-12-17
TAS,0,3,2,2021-12-17
VIC,57,49,7,2021-12-17
WA,0,0,1,2021-12-17
