Age Group,Male,Female,Date
0-9,17991,17061,2021-12-15
10-19,18128,17231,2021-12-15
20-29,23044,21758,2021-12-15
30-39,19991,19093,2021-12-15
40-49,14689,13914,2021-12-15
50-59,10959,10522,2021-12-15
60-69,6729,6564,2021-12-15
70-79,3803,3560,2021-12-15
80-89,1864,2306,2021-12-15
90+,511,1077,2021-12-15
