Jurisdiction,Average daily cases as at 04 Oct 2022,Change in average cases compared to previous week (%),Date
National,5177,- 5.9%,2022-10-11
NSW,1536,- 15.9%,2022-10-11
Vic,1349,+ 1.6%,2022-10-11
Qld,1007,- 1.9%,2022-10-11
WA,675,+ 4.7%,2022-10-11
SA,405,- 3.4%,2022-10-11
Tas,91,- 22.2%,2022-10-11
ACT,73,- 19.5%,2022-10-11
NT,41,- 16.2%,2022-10-11
