Jurisdiction,Active Cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,Under investigation last 24 hours*,Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,148336,2029,52,13260,15817,277,94309,2022-08-24
NSW,89474,3,0,5564,21,0,44122,2022-08-24
VIC,20491,0,0,3638,0,0,25034,2022-08-24
QLD,17837,24,0,2758,2732,0,14338,2022-08-24
WA,9730,732,32,1008,4858,200,6979,2022-08-24
SA,6366,824,7,19,5211,32,1598,2022-08-24
TAS,1998,188,8,130,1019,26,1356,2022-08-24
ACT,1586,258,0,0,1976,0,0,2022-08-24
NT,854,0,5,143,0,19,882,2022-08-24
