Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,51143,897,14,8210,5837,131,33929,2021-12-24
ACT,334,54,0,48,216,6,88,2021-12-24
NSW,32174,388,7,5217,2610,55,22891,2021-12-24
NT,107,6,0,0,49,2,1,2021-12-24
QLD,807,26,1,562,125,7,1205,2021-12-24
SA,2162,95,0,593,400,1,1373,2021-12-24
TAS,78,8,0,19,19,2,56,2021-12-24
VIC,15471,320,5,1770,2416,53,8314,2021-12-24
WA,10,0,1,1,2,5,1,2021-12-24
