Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,378831,9010,15,29900,69262,153,205224,2022-04-19
ACT,5097,816,0,0,6182,0,0,2022-04-19
NSW,195034,2,0,10854,17,4,96815,2022-04-19
NT,2970,16,0,439,76,4,2868,2022-04-19
QLD,46287,1,0,6466,136,0,43178,2022-04-19
SA,29079,3741,3,85,26628,41,1590,2022-04-19
TAS,7099,0,0,1419,1794,0,8704,2022-04-19
VIC,53314,171,0,8805,1021,0,38883,2022-04-19
WA,39951,4263,12,1832,33408,104,13186,2022-04-19
