Jurisdiction,Total staff cases as at 14 Dec 2022,Total staff cases as at 21 Dec 2022,Date
National,1578,2052,2022-12-24
NSW,495,674,2022-12-24
Vic,396,477,2022-12-24
Qld,334,499,2022-12-24
WA,121,122,2022-12-24
SA,163,221,2022-12-24
Tas,29,35,2022-12-24
ACT,24,16,2022-12-24
NT,16,8,2022-12-24
