Jurisdiction,Average daily cases as at 31 Jan 2023,Change in average cases compared to previous week (%),Date
National,2656,- 16.2%,2023-02-06
NSW,991,- 10.6%,2023-02-06
Vic,435,- 16.5%,2023-02-06
Qld,578,- 13.7%,2023-02-06
WA,327,- 23.8%,2023-02-06
SA,185,- 24.2%,2023-02-06
Tas,46,- 42.2%,2023-02-06
ACT,69,- 19.2%,2023-02-06
NT,26,- 20.1%,2023-02-06
