Jurisdiction,Active,Recovered,Deaths,Date
Australia,707,1487,810,2021-11-02
ACT,0,8,7,2021-11-02
NSW,305,89,89,2021-11-02
NT,0,0,0,2021-11-02
QLD,0,0,1,2021-11-02
SA,0,0,0,2021-11-02
TAS,0,0,1,2021-11-02
VIC,402,1390,712,2021-11-02
WA,0,0,0,2021-11-02
