Jurisdiction,Total resident cases as at 09 Nov 2022,Total resident cases as at 16 Nov 2022,Date
National,1465,2155,2022-11-19
NSW,399,628,2022-11-19
Vic,365,508,2022-11-19
Qld,185,314,2022-11-19
WA,277,322,2022-11-19
SA,164,305,2022-11-19
Tas,40,29,2022-11-19
ACT,1,22,2022-11-19
NT,34,27,2022-11-19
