Jurisdiction,Active,Recovered,Deaths,Date
Australia,837,1871,889,2021-12-14
ACT,4,8,7,2021-12-14
NSW,311,122,102,2021-12-14
NT,0,0,0,2021-12-14
QLD,0,0,1,2021-12-14
SA,0,0,0,2021-12-14
TAS,0,0,1,2021-12-14
VIC,522,1741,778,2021-12-14
WA,0,0,0,2021-12-14
