Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,220993,1867,5,27332,11371,79,165694,2022-02-16
ACT,2475,594,0,0,3299,0,0,2022-02-16
NSW,110935,5,0,10458,23,0,58774,2022-02-16
NT,7104,3,0,1024,29,0,7226,2022-02-16
QLD,33166,82,0,6514,920,1,37513,2022-02-16
SA,13822,673,5,946,3541,50,5819,2022-02-16
TAS,3111,0,0,623,3,0,3552,2022-02-16
VIC,49936,431,0,7718,3081,0,52693,2022-02-16
WA,444,79,0,49,475,28,117,2022-02-16
