Jurisdiction,Total resident cases as at 09 Nov 2022,Total resident cases as at 16 Nov 2022,Date
National,1465,2155,2022-11-22
NSW,399,628,2022-11-22
Vic,365,508,2022-11-22
Qld,185,314,2022-11-22
WA,277,322,2022-11-22
SA,164,305,2022-11-22
Tas,40,29,2022-11-22
ACT,1,22,2022-11-22
NT,34,27,2022-11-22
