Age Group,Male,Female,Date
0-9,4,4,2022-04-14
10-19,1,2,2022-04-14
20-29,11,6,2022-04-14
30-39,37,24,2022-04-14
40-49,66,44,2022-04-14
50-59,176,103,2022-04-14
60-69,409,203,2022-04-14
70-79,888,460,2022-04-14
80-89,1337,947,2022-04-14
90+,712,868,2022-04-14
