Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,331195,11481,62,30542,69200,336,185423,2022-04-30
ACT,5428,1072,0,0,5414,0,997,2022-04-30
NSW,153939,0,0,11903,12,1,79423,2022-04-30
NT,2894,30,0,388,114,1,2801,2022-04-30
QLD,40356,79,1,4397,270,4,39911,2022-04-30
SA,24621,3805,10,109,23674,53,1697,2022-04-30
TAS,6374,790,0,301,3097,0,4390,2022-04-30
VIC,54150,0,0,11083,193,0,41316,2022-04-30
WA,43433,5705,51,2361,36426,277,14888,2022-04-30
