Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,332239,12132,43,35255,69470,313,191979,2022-04-29
ACT,5326,1149,0,0,5383,0,997,2022-04-29
NSW,155622,5,0,13766,13,1,82802,2022-04-29
NT,3005,28,0,508,96,1,2906,2022-04-29
QLD,41459,85,2,7631,251,6,43531,2022-04-29
SA,25246,3641,6,86,24265,47,1688,2022-04-29
TAS,6432,842,0,365,2307,0,5352,2022-04-29
VIC,52031,0,0,10427,193,0,39672,2022-04-29
WA,43118,6382,35,2472,36962,258,15031,2022-04-29
