Age Group,Male,Female,Date
0-9,8201,7810,2021-10-13
10-19,9966,9245,2021-10-13
20-29,14849,13667,2021-10-13
30-39,12336,10937,2021-10-13
40-49,8547,7822,2021-10-13
50-59,6718,6155,2021-10-13
60-69,3934,3688,2021-10-13
70-79,2110,1961,2021-10-13
80-89,1092,1407,2021-10-13
90+,340,752,2021-10-13
