Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,377550,7305,104,29097,60440,830,235070,2022-07-25
ACT,5849,790,0,0,5984,0,0,2022-07-25
NSW,163414,0,0,10769,10,0,84973,2022-07-25
NT,3410,0,14,319,0,74,3272,2022-07-25
QLD,64937,4,0,6105,284,0,55200,2022-07-25
SA,27506,3260,14,89,25394,60,657,2022-07-25
TAS,8453,674,9,342,4959,51,3464,2022-07-25
VIC,71081,0,0,10261,0,0,74314,2022-07-25
WA,32900,2577,67,1212,23809,645,13190,2022-07-25
