Jurisdiction,Active Cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,Under investigation last 24 hours*,Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,94315,922,15,5561,7255,199,60158,2022-09-05
NSW,56760,0,0,2341,10,0,27395,2022-09-05
VIC,13182,0,0,1709,0,0,16086,2022-09-05
QLD,11938,18,0,990,221,0,9312,2022-09-05
WA,6091,329,8,421,2440,142,5136,2022-09-05
SA,3647,395,1,10,2818,21,979,2022-09-05
TAS,1079,56,4,40,540,15,770,2022-09-05
ACT,1027,124,0,0,1226,0,0,2022-09-05
NT,591,0,2,50,0,21,480,2022-09-05
