Age Group,Male,Female,Date
0-9,0,1,2021-11-23
10-19,1,1,2021-11-23
20-29,6,3,2021-11-23
30-39,12,7,2021-11-23
40-49,29,13,2021-11-23
50-59,72,41,2021-11-23
60-69,147,61,2021-11-23
70-79,264,161,2021-11-23
80-89,374,328,2021-11-23
90+,173,275,2021-11-23
