Jurisdiction,Active,Recovered,Deaths,Date
Australia,48,76,11,2021-12-09
ACT,0,0,0,2021-12-09
NSW,18,15,3,2021-12-09
NT,0,0,0,2021-12-09
QLD,0,8,0,2021-12-09
SA,0,1,0,2021-12-09
TAS,0,3,2,2021-12-09
VIC,31,49,5,2021-12-09
WA,0,0,1,2021-12-09
