Jurisdiction,Active and Recovered,Deaths,Date
Australia,192,13,2022-04-13
ACT,0,0,2022-04-13
NSW,42,3,2022-04-13
NT,0,0,2022-04-13
QLD,15,0,2022-04-13
SA,1,0,2022-04-13
TAS,3,2,2022-04-13
VIC,131,7,2022-04-13
WA,0,1,2022-04-13
