Jurisdiction,Total resident cases as at 04 Jan 2023,Total resident cases as at 11 Jan 2023,Date
National,3781,2743,2023-01-14
NSW,1504,1014,2023-01-14
Vic,689,496,2023-01-14
Qld,713,538,2023-01-14
WA,279,228,2023-01-14
SA,435,342,2023-01-14
Tas,112,100,2023-01-14
ACT,48,16,2023-01-14
NT,1,9,2023-01-14
