Jurisdiction,Active,Recovered,Deaths,Date
Australia,41,76,11,2021-12-06
ACT,0,0,0,2021-12-06
NSW,16,15,3,2021-12-06
NT,0,0,0,2021-12-06
QLD,0,8,0,2021-12-06
SA,0,1,0,2021-12-06
TAS,0,3,2,2021-12-06
VIC,25,49,5,2021-12-06
WA,0,0,1,2021-12-06
