Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
Australia,453518,1206,18,30436,17559,71,261830,2022-01-23
ACT,5336,385,0,0,4378,0,0,2022-01-23
NSW,259104,3,0,13617,24,2,110791,2022-01-23
NT,3243,9,0,57,45,0,727,2022-01-23
QLD,84807,36,0,8603,336,1,75722,2022-01-23
SA,33290,746,17,1299,7076,59,14162,2022-01-23
TAS,1531,0,0,237,359,0,1830,2022-01-23
VIC,66115,4,0,6621,5270,0,58589,2022-01-23
WA,92,23,1,2,71,9,9,2022-01-23
