Local Government Area,Total cases,Date
Aurukun Shire,94,2022-06-20
Balonne Shire,279,2022-06-20
Banana Shire,589,2022-06-20
Barcaldine Regional,68,2022-06-20
Barcoo Shire,3,2022-06-20
Blackall Tambo Regional,46,2022-06-20
Boulia Shire,11,2022-06-20
Brisbane City,130640,2022-06-20
Bulloo Shire,8,2022-06-20
Bundaberg Regional,6698,2022-06-20
Burdekin Shire,1159,2022-06-20
Burke Shire,7,2022-06-20
Cairns Regional,39813,2022-06-20
Carpentaria Shire,154,2022-06-20
Cassowary Coast Regional,4337,2022-06-20
Central Highlands Regional,1694,2022-06-20
Charters Towers Regional,268,2022-06-20
Cherbourg Aboriginal Shire,304,2022-06-20
Cloncurry Shire,128,2022-06-20
Cook Shire,900,2022-06-20
Croydon Shire,13,2022-06-20
Diamantina Shire,20,2022-06-20
Doomadgee Aboriginal Shire,156,2022-06-20
Douglas Shire,2522,2022-06-20
Etheridge Shire,51,2022-06-20
Flinders Shire,103,2022-06-20
Fraser Coast Regional,9509,2022-06-20
Gladstone Regional,3203,2022-06-20
Gold Coast City,73437,2022-06-20
Goondiwindi Regional,538,2022-06-20
Gympie Regional,3173,2022-06-20
Hinchinbrook Shire,432,2022-06-20
Hope Vale Aboriginal Shire,256,2022-06-20
Interstate/Other,15323,2022-06-20
Ipswich City,27741,2022-06-20
Isaac Regional,882,2022-06-20
Kowanyama Aboriginal Shire,158,2022-06-20
Livingstone Shire,2358,2022-06-20
Lockhart River Aboriginal Shire,125,2022-06-20
Lockyer Valley Regional,2610,2022-06-20
Logan City,35584,2022-06-20
Longreach Regional,79,2022-06-20
Mackay Regional,10463,2022-06-20
Mapoon Aboriginal Shire,62,2022-06-20
Maranoa Regional,798,2022-06-20
Mareeba Shire,4130,2022-06-20
McKinlay Shire,9,2022-06-20
Moreton Bay Regional,46298,2022-06-20
Mornington Shire,127,2022-06-20
Mount Isa City,703,2022-06-20
Murweh Shire,179,2022-06-20
Napranum Aboriginal Shire,250,2022-06-20
Noosa Shire,5000,2022-06-20
North Burnett Regional,441,2022-06-20
Northern Peninsula Area Regional,649,2022-06-20
Not Supplied,709749,2022-06-20
Palm Island Aboriginal Shire,663,2022-06-20
Paroo Shire,67,2022-06-20
Pormpuraaw Aboriginal Shire,193,2022-06-20
Quilpie Shire,24,2022-06-20
Redland City,14668,2022-06-20
Richmond Shire,33,2022-06-20
Rockhampton Regional,5756,2022-06-20
Scenic Rim Regional,2329,2022-06-20
Somerset Regional,1549,2022-06-20
South Burnett Regional,1198,2022-06-20
Southern Downs Regional,2067,2022-06-20
Sunshine Coast Regional,33789,2022-06-20
Tablelands Regional,3514,2022-06-20
Toowoomba Regional,10011,2022-06-20
Torres Shire,1185,2022-06-20
Torres Strait Island Regional,910,2022-06-20
Townsville City,22725,2022-06-20
Weipa Town,1196,2022-06-20
Western Downs Regional,1238,2022-06-20
Whitsunday Regional,2462,2022-06-20
Winton Shire,23,2022-06-20
Woorabinda Aboriginal Shire,203,2022-06-20
Wujal Wujal Aboriginal Shire,91,2022-06-20
Yarrabah Aboriginal Shire,806,2022-06-20
Total cases,1251031,2022-06-20
