Local Government Area,Total cases,Date
Aurukun Shire,92,2022-04-25
Balonne Shire,185,2022-04-25
Banana Shire,533,2022-04-25
Barcaldine Regional,36,2022-04-25
Barcoo Shire,3,2022-04-25
Blackall Tambo Regional,24,2022-04-25
Boulia Shire,9,2022-04-25
Brisbane City,114853,2022-04-25
Bulloo Shire,7,2022-04-25
Bundaberg Regional,5520,2022-04-25
Burdekin Shire,1006,2022-04-25
Burke Shire,8,2022-04-25
Cairns Regional,32605,2022-04-25
Carpentaria Shire,139,2022-04-25
Cassowary Coast Regional,3444,2022-04-25
Central Highlands Regional,1451,2022-04-25
Charters Towers Regional,246,2022-04-25
Cherbourg Aboriginal Shire,261,2022-04-25
Cloncurry Shire,118,2022-04-25
Cook Shire,736,2022-04-25
Croydon Shire,6,2022-04-25
Diamantina Shire,13,2022-04-25
Doomadgee Aboriginal Shire,153,2022-04-25
Douglas Shire,2093,2022-04-25
Etheridge Shire,25,2022-04-25
Flinders Shire,76,2022-04-25
Fraser Coast Regional,6559,2022-04-25
Gladstone Regional,2886,2022-04-25
Gold Coast City,66907,2022-04-25
Goondiwindi Regional,467,2022-04-25
Gympie Regional,2632,2022-04-25
Hinchinbrook Shire,371,2022-04-25
Hope Vale Aboriginal Shire,240,2022-04-25
Interstate/Other,13867,2022-04-25
Ipswich City,24436,2022-04-25
Isaac Regional,828,2022-04-25
Kowanyama Aboriginal Shire,138,2022-04-25
Livingstone Shire,2104,2022-04-25
Lockhart River Aboriginal Shire,108,2022-04-25
Lockyer Valley Regional,2255,2022-04-25
Logan City,31916,2022-04-25
Longreach Regional,48,2022-04-25
Mackay Regional,8896,2022-04-25
Mapoon Aboriginal Shire,57,2022-04-25
Maranoa Regional,649,2022-04-25
Mareeba Shire,3079,2022-04-25
McKinlay Shire,8,2022-04-25
Moreton Bay Regional,39949,2022-04-25
Mornington Shire,123,2022-04-25
Mount Isa City,671,2022-04-25
Murweh Shire,124,2022-04-25
Napranum Aboriginal Shire,240,2022-04-25
Noosa Shire,4397,2022-04-25
North Burnett Regional,380,2022-04-25
Northern Peninsula Area Regional,610,2022-04-25
Not Supplied,493709,2022-04-25
Palm Island Aboriginal Shire,647,2022-04-25
Paroo Shire,54,2022-04-25
Pormpuraaw Aboriginal Shire,189,2022-04-25
Quilpie Shire,16,2022-04-25
Redland City,12719,2022-04-25
Richmond Shire,27,2022-04-25
Rockhampton Regional,5078,2022-04-25
Scenic Rim Regional,1953,2022-04-25
Somerset Regional,1307,2022-04-25
South Burnett Regional,1068,2022-04-25
Southern Downs Regional,1668,2022-04-25
Sunshine Coast Regional,29475,2022-04-25
Tablelands Regional,2712,2022-04-25
Toowoomba Regional,7920,2022-04-25
Torres Shire,1107,2022-04-25
Torres Strait Island Regional,859,2022-04-25
Townsville City,17974,2022-04-25
Weipa Town,917,2022-04-25
Western Downs Regional,1119,2022-04-25
Whitsunday Regional,2337,2022-04-25
Winton Shire,20,2022-04-25
Woorabinda Aboriginal Shire,22,2022-04-25
Wujal Wujal Aboriginal Shire,76,2022-04-25
Yarrabah Aboriginal Shire,745,2022-04-25
Total cases,962305,2022-04-25
