Local Government Area,Total,Date
Aurukun Shire,3,2022-01-19
Balonne Shire,42,2022-01-19
Banana Shire,140,2022-01-19
Barcaldine Regional,12,2022-01-19
Barcoo Shire,2,2022-01-19
Blackall Tambo Regional,13,2022-01-19
Brisbane City,54971,2022-01-19
Bulloo Shire,3,2022-01-19
Bundaberg Regional,1123,2022-01-19
Burdekin Shire,207,2022-01-19
Burke Shire,4,2022-01-19
Cairns Regional,9165,2022-01-19
Carpentaria Shire,14,2022-01-19
Cassowary Coast Regional,664,2022-01-19
Central Highlands Regional,375,2022-01-19
Charters Towers Regional,30,2022-01-19
Cherbourg Aboriginal Shire,105,2022-01-19
Cloncurry Shire,31,2022-01-19
Cook Shire,163,2022-01-19
Croydon Shire,1,2022-01-19
Diamantina Shire,2,2022-01-19
Doomadgee Aboriginal Shire,2,2022-01-19
Douglas Shire,784,2022-01-19
Etheridge Shire,4,2022-01-19
Flinders Shire,9,2022-01-19
Fraser Coast Regional,1435,2022-01-19
Gladstone Regional,756,2022-01-19
Gold Coast City,33450,2022-01-19
Goondiwindi Regional,176,2022-01-19
Gympie Regional,685,2022-01-19
Hinchinbrook Shire,122,2022-01-19
Hope Vale Aboriginal Shire,3,2022-01-19
Interstate/Other,9668,2022-01-19
Ipswich City,10060,2022-01-19
Isaac Regional,334,2022-01-19
Kowanyama Aboriginal Shire,4,2022-01-19
Livingstone Shire,597,2022-01-19
Lockhart River Aboriginal Shire,26,2022-01-19
Lockyer Valley Regional,811,2022-01-19
Logan City,14767,2022-01-19
Longreach Regional,24,2022-01-19
Mackay Regional,2770,2022-01-19
Mapoon Aboriginal Shire,2,2022-01-19
Maranoa Regional,203,2022-01-19
Mareeba Shire,681,2022-01-19
McKinlay Shire,2,2022-01-19
Moreton Bay Regional,12617,2022-01-19
Mornington Shire,3,2022-01-19
Mount Isa City,96,2022-01-19
Murweh Shire,77,2022-01-19
Napranum Aboriginal Shire,5,2022-01-19
Noosa Shire,2111,2022-01-19
North Burnett Regional,85,2022-01-19
Northern Peninsula Area Regional,13,2022-01-19
Not Supplied,21144,2022-01-19
Palm Island Aboriginal Shire,33,2022-01-19
Paroo Shire,15,2022-01-19
Pormpuraaw Aboriginal Shire,1,2022-01-19
Quilpie Shire,9,2022-01-19
Redland City,4704,2022-01-19
Richmond Shire,2,2022-01-19
Rockhampton Regional,1133,2022-01-19
Scenic Rim Regional,716,2022-01-19
Somerset Regional,508,2022-01-19
South Burnett Regional,400,2022-01-19
Southern Downs Regional,647,2022-01-19
Sunshine Coast Regional,11140,2022-01-19
Tablelands Regional,519,2022-01-19
Toowoomba Regional,2922,2022-01-19
Torres Shire,46,2022-01-19
Torres Strait Island Regional,10,2022-01-19
Townsville City,3699,2022-01-19
Weipa Town,45,2022-01-19
Western Downs Regional,504,2022-01-19
Whitsunday Regional,1450,2022-01-19
Winton Shire,8,2022-01-19
Woorabinda Aboriginal Shire,6,2022-01-19
Wujal Wujal Aboriginal Shire,4,2022-01-19
Yarrabah Aboriginal Shire,22,2022-01-19
Total,209139,2022-01-19
