Local Government Area,Total cases,Date
Aurukun Shire,136,2022-12-03
Balonne Shire,457,2022-12-03
Banana Shire,809,2022-12-03
Barcaldine Regional,164,2022-12-03
Barcoo Shire,4,2022-12-03
Blackall Tambo Regional,83,2022-12-03
Boulia Shire,14,2022-12-03
Brisbane City,168497,2022-12-03
Bulloo Shire,12,2022-12-03
Bundaberg Regional,10497,2022-12-03
Burdekin Shire,1466,2022-12-03
Burke Shire,28,2022-12-03
Cairns Regional,48930,2022-12-03
Carpentaria Shire,170,2022-12-03
Cassowary Coast Regional,5723,2022-12-03
Central Highlands Regional,2172,2022-12-03
Charters Towers Regional,1189,2022-12-03
Cherbourg Aboriginal Shire,391,2022-12-03
Cloncurry Shire,183,2022-12-03
Cook Shire,1164,2022-12-03
Croydon Shire,23,2022-12-03
Diamantina Shire,32,2022-12-03
Doomadgee Aboriginal Shire,175,2022-12-03
Douglas Shire,3033,2022-12-03
Etheridge Shire,68,2022-12-03
Flinders Shire,181,2022-12-03
Fraser Coast Regional,12418,2022-12-03
Gladstone Regional,4822,2022-12-03
Gold Coast City,92424,2022-12-03
Goondiwindi Regional,791,2022-12-03
Gympie Regional,4152,2022-12-03
Hinchinbrook Shire,618,2022-12-03
Hope Vale Aboriginal Shire,339,2022-12-03
Interstate/Other,21028,2022-12-03
Ipswich City,33308,2022-12-03
Isaac Regional,1087,2022-12-03
Kowanyama Aboriginal Shire,196,2022-12-03
Livingstone Shire,2989,2022-12-03
Lockhart River Aboriginal Shire,157,2022-12-03
Lockyer Valley Regional,3285,2022-12-03
Logan City,43554,2022-12-03
Longreach Regional,154,2022-12-03
Mackay Regional,13300,2022-12-03
Mapoon Aboriginal Shire,82,2022-12-03
Maranoa Regional,1208,2022-12-03
Mareeba Shire,5533,2022-12-03
McKinlay Shire,22,2022-12-03
Moreton Bay Regional,61528,2022-12-03
Mornington Shire,136,2022-12-03
Mount Isa City,2051,2022-12-03
Murweh Shire,349,2022-12-03
Napranum Aboriginal Shire,277,2022-12-03
Noosa Shire,6592,2022-12-03
North Burnett Regional,717,2022-12-03
Northern Peninsula Area Regional,774,2022-12-03
Not Supplied,920632,2022-12-03
Palm Island Aboriginal Shire,763,2022-12-03
Paroo Shire,94,2022-12-03
Pormpuraaw Aboriginal Shire,228,2022-12-03
Quilpie Shire,46,2022-12-03
Redland City,18618,2022-12-03
Richmond Shire,51,2022-12-03
Rockhampton Regional,6977,2022-12-03
Scenic Rim Regional,3169,2022-12-03
Somerset Regional,1985,2022-12-03
South Burnett Regional,1736,2022-12-03
Southern Downs Regional,3200,2022-12-03
Sunshine Coast Regional,43147,2022-12-03
Tablelands Regional,4798,2022-12-03
Toowoomba Regional,18505,2022-12-03
Torres Shire,1366,2022-12-03
Torres Strait Island Regional,1050,2022-12-03
Townsville City,28910,2022-12-03
Weipa Town,1507,2022-12-03
Western Downs Regional,1737,2022-12-03
Whitsunday Regional,3215,2022-12-03
Winton Shire,46,2022-12-03
Woorabinda Aboriginal Shire,331,2022-12-03
Wujal Wujal Aboriginal Shire,111,2022-12-03
Yarrabah Aboriginal Shire,1271,2022-12-03
Total cases,1622985,2022-12-03
