Local Government Area,Total,Date
Aurukun Shire,38,2022-01-28
Balonne Shire,76,2022-01-28
Banana Shire,208,2022-01-28
Barcaldine Regional,16,2022-01-28
Barcoo Shire,2,2022-01-28
Blackall Tambo Regional,17,2022-01-28
Brisbane City,69789,2022-01-28
Bulloo Shire,3,2022-01-28
Bundaberg Regional,1759,2022-01-28
Burdekin Shire,434,2022-01-28
Burke Shire,4,2022-01-28
Cairns Regional,12900,2022-01-28
Carpentaria Shire,20,2022-01-28
Cassowary Coast Regional,1207,2022-01-28
Central Highlands Regional,598,2022-01-28
Charters Towers Regional,49,2022-01-28
Cherbourg Aboriginal Shire,128,2022-01-28
Cloncurry Shire,56,2022-01-28
Cook Shire,235,2022-01-28
Croydon Shire,1,2022-01-28
Diamantina Shire,2,2022-01-28
Doomadgee Aboriginal Shire,27,2022-01-28
Douglas Shire,981,2022-01-28
Etheridge Shire,4,2022-01-28
Flinders Shire,16,2022-01-28
Fraser Coast Regional,2109,2022-01-28
Gladstone Regional,1006,2022-01-28
Gold Coast City,44446,2022-01-28
Goondiwindi Regional,259,2022-01-28
Gympie Regional,1033,2022-01-28
Hinchinbrook Shire,177,2022-01-28
Hope Vale Aboriginal Shire,8,2022-01-28
Interstate/Other,11213,2022-01-28
Ipswich City,13652,2022-01-28
Isaac Regional,449,2022-01-28
Kowanyama Aboriginal Shire,28,2022-01-28
Livingstone Shire,916,2022-01-28
Lockhart River Aboriginal Shire,62,2022-01-28
Lockyer Valley Regional,1249,2022-01-28
Logan City,20488,2022-01-28
Longreach Regional,27,2022-01-28
Mackay Regional,4072,2022-01-28
Mapoon Aboriginal Shire,6,2022-01-28
Maranoa Regional,287,2022-01-28
Mareeba Shire,1055,2022-01-28
McKinlay Shire,3,2022-01-28
Moreton Bay Regional,19375,2022-01-28
Mornington Shire,4,2022-01-28
Mount Isa City,145,2022-01-28
Murweh Shire,83,2022-01-28
Napranum Aboriginal Shire,19,2022-01-28
Noosa Shire,2877,2022-01-28
North Burnett Regional,164,2022-01-28
Northern Peninsula Area Regional,194,2022-01-28
Not Supplied,124332,2022-01-28
Palm Island Aboriginal Shire,218,2022-01-28
Paroo Shire,25,2022-01-28
Pormpuraaw Aboriginal Shire,1,2022-01-28
Quilpie Shire,10,2022-01-28
Redland City,6582,2022-01-28
Richmond Shire,3,2022-01-28
Rockhampton Regional,1792,2022-01-28
Scenic Rim Regional,1030,2022-01-28
Somerset Regional,752,2022-01-28
South Burnett Regional,560,2022-01-28
Southern Downs Regional,877,2022-01-28
Sunshine Coast Regional,15815,2022-01-28
Tablelands Regional,789,2022-01-28
Toowoomba Regional,3846,2022-01-28
Torres Shire,231,2022-01-28
Torres Strait Island Regional,145,2022-01-28
Townsville City,5896,2022-01-28
Weipa Town,127,2022-01-28
Western Downs Regional,706,2022-01-28
Whitsunday Regional,1702,2022-01-28
Winton Shire,9,2022-01-28
Woorabinda Aboriginal Shire,8,2022-01-28
Wujal Wujal Aboriginal Shire,6,2022-01-28
Yarrabah Aboriginal Shire,355,2022-01-28
Total,379793,2022-01-28
