Local Government Area,Total cases,Date
Aurukun Shire,63,2022-02-05
Balonne Shire,95,2022-02-05
Banana Shire,267,2022-02-05
Barcaldine Regional,17,2022-02-05
Barcoo Shire,2,2022-02-05
Blackall Tambo Regional,17,2022-02-05
Boulia Shire,1,2022-02-05
Brisbane City,77180,2022-02-05
Bulloo Shire,4,2022-02-05
Bundaberg Regional,2209,2022-02-05
Burdekin Shire,612,2022-02-05
Burke Shire,4,2022-02-05
Cairns Regional,14955,2022-02-05
Carpentaria Shire,46,2022-02-05
Cassowary Coast Regional,1528,2022-02-05
Central Highlands Regional,760,2022-02-05
Charters Towers Regional,80,2022-02-05
Cherbourg Aboriginal Shire,167,2022-02-05
Cloncurry Shire,65,2022-02-05
Cook Shire,262,2022-02-05
Croydon Shire,2,2022-02-05
Diamantina Shire,2,2022-02-05
Doomadgee Aboriginal Shire,64,2022-02-05
Douglas Shire,1073,2022-02-05
Etheridge Shire,5,2022-02-05
Flinders Shire,39,2022-02-05
Fraser Coast Regional,2495,2022-02-05
Gladstone Regional,1238,2022-02-05
Gold Coast City,49328,2022-02-05
Goondiwindi Regional,335,2022-02-05
Gympie Regional,1285,2022-02-05
Hinchinbrook Shire,219,2022-02-05
Hope Vale Aboriginal Shire,11,2022-02-05
Interstate/Other,11790,2022-02-05
Ipswich City,15661,2022-02-05
Isaac Regional,543,2022-02-05
Kowanyama Aboriginal Shire,80,2022-02-05
Livingstone Shire,1155,2022-02-05
Lockhart River Aboriginal Shire,74,2022-02-05
Lockyer Valley Regional,1510,2022-02-05
Logan City,23142,2022-02-05
Longreach Regional,28,2022-02-05
Mackay Regional,4974,2022-02-05
Mapoon Aboriginal Shire,8,2022-02-05
Maranoa Regional,364,2022-02-05
Mareeba Shire,1385,2022-02-05
McKinlay Shire,4,2022-02-05
Moreton Bay Regional,23032,2022-02-05
Mornington Shire,12,2022-02-05
Mount Isa City,287,2022-02-05
Murweh Shire,85,2022-02-05
Napranum Aboriginal Shire,40,2022-02-05
Noosa Shire,3158,2022-02-05
North Burnett Regional,192,2022-02-05
Northern Peninsula Area Regional,325,2022-02-05
Not Supplied,154104,2022-02-05
Palm Island Aboriginal Shire,338,2022-02-05
Paroo Shire,31,2022-02-05
Pormpuraaw Aboriginal Shire,4,2022-02-05
Quilpie Shire,13,2022-02-05
Redland City,7811,2022-02-05
Richmond Shire,3,2022-02-05
Rockhampton Regional,2291,2022-02-05
Scenic Rim Regional,1211,2022-02-05
Somerset Regional,904,2022-02-05
South Burnett Regional,714,2022-02-05
Southern Downs Regional,1085,2022-02-05
Sunshine Coast Regional,18781,2022-02-05
Tablelands Regional,926,2022-02-05
Toowoomba Regional,4428,2022-02-05
Torres Shire,350,2022-02-05
Torres Strait Island Regional,289,2022-02-05
Townsville City,8194,2022-02-05
Weipa Town,170,2022-02-05
Western Downs Regional,805,2022-02-05
Whitsunday Regional,1860,2022-02-05
Winton Shire,10,2022-02-05
Woorabinda Aboriginal Shire,11,2022-02-05
Wujal Wujal Aboriginal Shire,12,2022-02-05
Yarrabah Aboriginal Shire,521,2022-02-05
Total cases,447145,2022-02-05
