Local Government Area,Overseas acquired,Locally acquired—contact known,Locally acquired—no known contact,Interstate acquired,Under investigation,Total,Date
Aurukun Shire,0,0,0,0,2,2,2022-01-14
Balonne Shire,0,0,1,0,25,26,2022-01-14
Banana Shire,0,6,0,0,80,86,2022-01-14
Barcaldine Regional,0,0,0,0,10,10,2022-01-14
Barcoo Shire,0,0,0,0,1,1,2022-01-14
Blackall Tambo Regional,0,0,0,0,11,11,2022-01-14
Brisbane City,594,396,86,36,40673,41785,2022-01-14
Bulloo Shire,0,0,0,0,3,3,2022-01-14
Bundaberg Regional,19,8,4,0,743,774,2022-01-14
Burdekin Shire,0,0,1,0,87,88,2022-01-14
Burke Shire,0,0,0,0,3,3,2022-01-14
Cairns Regional,43,386,327,29,5315,6100,2022-01-14
Carpentaria Shire,0,0,0,0,4,4,2022-01-14
Cassowary Coast Regional,3,25,18,2,359,407,2022-01-14
Central Highlands Regional,0,4,6,1,203,214,2022-01-14
Charters Towers Regional,2,1,0,0,15,18,2022-01-14
Cherbourg Aboriginal Shire,0,37,15,0,52,104,2022-01-14
Cloncurry Shire,0,0,0,0,19,19,2022-01-14
Cook Shire,0,11,27,2,112,152,2022-01-14
Croydon Shire,0,0,0,0,1,1,2022-01-14
Diamantina Shire,0,0,0,0,1,1,2022-01-14
Doomadgee Aboriginal Shire,0,1,0,0,1,2,2022-01-14
Douglas Shire,2,28,28,3,526,587,2022-01-14
Etheridge Shire,0,0,0,0,3,3,2022-01-14
Flinders Shire,0,0,0,0,6,6,2022-01-14
Fraser Coast Regional,12,6,5,2,991,1016,2022-01-14
Gladstone Regional,7,24,14,1,477,523,2022-01-14
Gold Coast City,193,292,408,48,22375,23316,2022-01-14
Goondiwindi Regional,2,9,2,2,132,147,2022-01-14
Gympie Regional,4,14,3,0,404,425,2022-01-14
Hinchinbrook Shire,1,0,0,0,92,93,2022-01-14
Hope Vale Aboriginal Shire,0,0,0,0,2,2,2022-01-14
Interstate/Other,168,54,67,114,6990,7393,2022-01-14
Ipswich City,32,76,33,2,6664,6807,2022-01-14
Isaac Regional,0,5,4,0,219,228,2022-01-14
Kowanyama Aboriginal Shire,0,0,0,0,4,4,2022-01-14
Livingstone Shire,4,25,6,1,294,330,2022-01-14
Lockhart River Aboriginal Shire,0,6,2,0,13,21,2022-01-14
Lockyer Valley Regional,2,10,1,0,454,467,2022-01-14
Logan City,47,37,16,12,10443,10555,2022-01-14
Longreach Regional,0,0,0,0,18,18,2022-01-14
Mackay Regional,22,16,27,3,1781,1849,2022-01-14
Mapoon Aboriginal Shire,0,0,0,0,2,2,2022-01-14
Maranoa Regional,0,6,3,1,133,143,2022-01-14
Mareeba Shire,3,35,14,2,291,345,2022-01-14
McKinlay Shire,0,0,0,0,1,1,2022-01-14
Moreton Bay Regional,119,36,17,4,7977,8153,2022-01-14
Mornington Shire,0,0,0,0,2,2,2022-01-14
Mount Isa City,0,0,0,0,46,46,2022-01-14
Murweh Shire,0,0,2,1,63,66,2022-01-14
Napranum Aboriginal Shire,0,0,1,0,4,5,2022-01-14
Noosa Shire,19,30,20,2,1482,1553,2022-01-14
North Burnett Regional,1,1,1,1,46,50,2022-01-14
Northern Peninsula Area Regional,0,0,2,1,5,8,2022-01-14
Not Supplied,65,86,111,9,14607,14878,2022-01-14
Palm Island Aboriginal Shire,0,0,0,0,23,23,2022-01-14
Paroo Shire,0,1,0,0,10,11,2022-01-14
Quilpie Shire,0,0,1,0,3,4,2022-01-14
Redland City,28,14,5,2,3242,3291,2022-01-14
Richmond Shire,0,0,0,0,2,2,2022-01-14
Rockhampton Regional,21,68,22,3,583,697,2022-01-14
Scenic Rim Regional,4,4,3,0,396,407,2022-01-14
Somerset Regional,3,2,1,1,322,329,2022-01-14
South Burnett Regional,2,26,10,1,257,296,2022-01-14
Southern Downs Regional,2,12,11,3,463,491,2022-01-14
Sunshine Coast Regional,82,74,65,20,7323,7564,2022-01-14
Tablelands Regional,5,16,17,0,312,350,2022-01-14
Toowoomba Regional,42,106,51,18,1902,2119,2022-01-14
Torres Shire,1,6,3,0,29,39,2022-01-14
Torres Strait Island Regional,0,2,0,0,3,5,2022-01-14
Townsville City,31,18,18,6,2112,2185,2022-01-14
Weipa Town,0,4,13,1,18,36,2022-01-14
Western Downs Regional,3,11,7,1,379,401,2022-01-14
Whitsunday Regional,7,14,38,2,1063,1124,2022-01-14
Winton Shire,0,0,0,0,6,6,2022-01-14
Woorabinda Aboriginal Shire,0,0,0,0,2,2,2022-01-14
Wujal Wujal Aboriginal Shire,0,2,0,0,2,4,2022-01-14
Yarrabah Aboriginal Shire,0,3,1,0,12,16,2022-01-14
Total,1595,2054,1538,337,142731,148255,2022-01-14
