Local Government Area,Total cases,Date
Aurukun Shire,92,2022-05-18
Balonne Shire,231,2022-05-18
Banana Shire,563,2022-05-18
Barcaldine Regional,57,2022-05-18
Barcoo Shire,3,2022-05-18
Blackall Tambo Regional,33,2022-05-18
Boulia Shire,11,2022-05-18
Brisbane City,123588,2022-05-18
Bulloo Shire,8,2022-05-18
Bundaberg Regional,6012,2022-05-18
Burdekin Shire,1046,2022-05-18
Burke Shire,7,2022-05-18
Cairns Regional,37476,2022-05-18
Carpentaria Shire,147,2022-05-18
Cassowary Coast Regional,4014,2022-05-18
Central Highlands Regional,1572,2022-05-18
Charters Towers Regional,264,2022-05-18
Cherbourg Aboriginal Shire,288,2022-05-18
Cloncurry Shire,126,2022-05-18
Cook Shire,852,2022-05-18
Croydon Shire,11,2022-05-18
Diamantina Shire,18,2022-05-18
Doomadgee Aboriginal Shire,154,2022-05-18
Douglas Shire,2351,2022-05-18
Etheridge Shire,43,2022-05-18
Flinders Shire,94,2022-05-18
Fraser Coast Regional,7857,2022-05-18
Gladstone Regional,3048,2022-05-18
Gold Coast City,70763,2022-05-18
Goondiwindi Regional,485,2022-05-18
Gympie Regional,2919,2022-05-18
Hinchinbrook Shire,415,2022-05-18
Hope Vale Aboriginal Shire,250,2022-05-18
Interstate/Other,14495,2022-05-18
Ipswich City,26309,2022-05-18
Isaac Regional,863,2022-05-18
Kowanyama Aboriginal Shire,145,2022-05-18
Livingstone Shire,2250,2022-05-18
Lockhart River Aboriginal Shire,111,2022-05-18
Lockyer Valley Regional,2439,2022-05-18
Logan City,33989,2022-05-18
Longreach Regional,68,2022-05-18
Mackay Regional,9707,2022-05-18
Mapoon Aboriginal Shire,60,2022-05-18
Maranoa Regional,724,2022-05-18
Mareeba Shire,3691,2022-05-18
McKinlay Shire,8,2022-05-18
Moreton Bay Regional,43337,2022-05-18
Mornington Shire,126,2022-05-18
Mount Isa City,691,2022-05-18
Murweh Shire,158,2022-05-18
Napranum Aboriginal Shire,247,2022-05-18
Noosa Shire,4740,2022-05-18
North Burnett Regional,407,2022-05-18
Northern Peninsula Area Regional,636,2022-05-18
Not Supplied,609012,2022-05-18
Palm Island Aboriginal Shire,655,2022-05-18
Paroo Shire,62,2022-05-18
Pormpuraaw Aboriginal Shire,189,2022-05-18
Quilpie Shire,23,2022-05-18
Redland City,13765,2022-05-18
Richmond Shire,29,2022-05-18
Rockhampton Regional,5478,2022-05-18
Scenic Rim Regional,2148,2022-05-18
Somerset Regional,1453,2022-05-18
South Burnett Regional,1124,2022-05-18
Southern Downs Regional,1868,2022-05-18
Sunshine Coast Regional,31878,2022-05-18
Tablelands Regional,3165,2022-05-18
Toowoomba Regional,8870,2022-05-18
Torres Shire,1177,2022-05-18
Torres Strait Island Regional,904,2022-05-18
Townsville City,20186,2022-05-18
Weipa Town,1121,2022-05-18
Western Downs Regional,1165,2022-05-18
Whitsunday Regional,2400,2022-05-18
Winton Shire,22,2022-05-18
Woorabinda Aboriginal Shire,25,2022-05-18
Wujal Wujal Aboriginal Shire,86,2022-05-18
Yarrabah Aboriginal Shire,765,2022-05-18
Total cases,1117569,2022-05-18
