Local Government Area,Total cases,Date
Aurukun Shire,92,2022-05-09
Balonne Shire,214,2022-05-09
Banana Shire,550,2022-05-09
Barcaldine Regional,49,2022-05-09
Barcoo Shire,3,2022-05-09
Blackall Tambo Regional,28,2022-05-09
Boulia Shire,11,2022-05-09
Brisbane City,120307,2022-05-09
Bulloo Shire,8,2022-05-09
Bundaberg Regional,5799,2022-05-09
Burdekin Shire,1033,2022-05-09
Burke Shire,7,2022-05-09
Cairns Regional,35659,2022-05-09
Carpentaria Shire,140,2022-05-09
Cassowary Coast Regional,3792,2022-05-09
Central Highlands Regional,1522,2022-05-09
Charters Towers Regional,260,2022-05-09
Cherbourg Aboriginal Shire,285,2022-05-09
Cloncurry Shire,123,2022-05-09
Cook Shire,823,2022-05-09
Croydon Shire,9,2022-05-09
Diamantina Shire,18,2022-05-09
Doomadgee Aboriginal Shire,154,2022-05-09
Douglas Shire,2236,2022-05-09
Etheridge Shire,27,2022-05-09
Flinders Shire,89,2022-05-09
Fraser Coast Regional,7319,2022-05-09
Gladstone Regional,2980,2022-05-09
Gold Coast City,69310,2022-05-09
Goondiwindi Regional,480,2022-05-09
Gympie Regional,2819,2022-05-09
Hinchinbrook Shire,405,2022-05-09
Hope Vale Aboriginal Shire,244,2022-05-09
Interstate/Other,14285,2022-05-09
Ipswich City,25698,2022-05-09
Isaac Regional,846,2022-05-09
Kowanyama Aboriginal Shire,139,2022-05-09
Livingstone Shire,2192,2022-05-09
Lockhart River Aboriginal Shire,112,2022-05-09
Lockyer Valley Regional,2387,2022-05-09
Logan City,33222,2022-05-09
Longreach Regional,59,2022-05-09
Mackay Regional,9388,2022-05-09
Mapoon Aboriginal Shire,58,2022-05-09
Maranoa Regional,688,2022-05-09
Mareeba Shire,3423,2022-05-09
McKinlay Shire,8,2022-05-09
Moreton Bay Regional,42017,2022-05-09
Mornington Shire,125,2022-05-09
Mount Isa City,679,2022-05-09
Murweh Shire,142,2022-05-09
Napranum Aboriginal Shire,243,2022-05-09
Noosa Shire,4621,2022-05-09
North Burnett Regional,394,2022-05-09
Northern Peninsula Area Regional,628,2022-05-09
Not Supplied,552966,2022-05-09
Palm Island Aboriginal Shire,653,2022-05-09
Paroo Shire,60,2022-05-09
Pormpuraaw Aboriginal Shire,189,2022-05-09
Quilpie Shire,22,2022-05-09
Redland City,13351,2022-05-09
Richmond Shire,28,2022-05-09
Rockhampton Regional,5296,2022-05-09
Scenic Rim Regional,2083,2022-05-09
Somerset Regional,1395,2022-05-09
South Burnett Regional,1104,2022-05-09
Southern Downs Regional,1775,2022-05-09
Sunshine Coast Regional,30941,2022-05-09
Tablelands Regional,2978,2022-05-09
Toowoomba Regional,8547,2022-05-09
Torres Shire,1161,2022-05-09
Torres Strait Island Regional,886,2022-05-09
Townsville City,19186,2022-05-09
Weipa Town,1018,2022-05-09
Western Downs Regional,1149,2022-05-09
Whitsunday Regional,2371,2022-05-09
Winton Shire,21,2022-05-09
Woorabinda Aboriginal Shire,24,2022-05-09
Wujal Wujal Aboriginal Shire,84,2022-05-09
Yarrabah Aboriginal Shire,755,2022-05-09
Total cases,1046192,2022-05-09
