Local Government Area,Total cases,Date
Aurukun Shire,98,2022-07-08
Balonne Shire,309,2022-07-08
Banana Shire,618,2022-07-08
Barcaldine Regional,94,2022-07-08
Barcoo Shire,3,2022-07-08
Blackall Tambo Regional,52,2022-07-08
Boulia Shire,11,2022-07-08
Brisbane City,134517,2022-07-08
Bulloo Shire,8,2022-07-08
Bundaberg Regional,7026,2022-07-08
Burdekin Shire,1183,2022-07-08
Burke Shire,7,2022-07-08
Cairns Regional,41300,2022-07-08
Carpentaria Shire,156,2022-07-08
Cassowary Coast Regional,4572,2022-07-08
Central Highlands Regional,1758,2022-07-08
Charters Towers Regional,276,2022-07-08
Cherbourg Aboriginal Shire,323,2022-07-08
Cloncurry Shire,133,2022-07-08
Cook Shire,935,2022-07-08
Croydon Shire,15,2022-07-08
Diamantina Shire,20,2022-07-08
Doomadgee Aboriginal Shire,158,2022-07-08
Douglas Shire,2618,2022-07-08
Etheridge Shire,54,2022-07-08
Flinders Shire,150,2022-07-08
Fraser Coast Regional,10039,2022-07-08
Gladstone Regional,3290,2022-07-08
Gold Coast City,75200,2022-07-08
Goondiwindi Regional,579,2022-07-08
Gympie Regional,3267,2022-07-08
Hinchinbrook Shire,439,2022-07-08
Hope Vale Aboriginal Shire,270,2022-07-08
Interstate/Other,70907,2022-07-08
Ipswich City,28436,2022-07-08
Isaac Regional,896,2022-07-08
Kowanyama Aboriginal Shire,165,2022-07-08
Livingstone Shire,2396,2022-07-08
Lockhart River Aboriginal Shire,127,2022-07-08
Lockyer Valley Regional,2718,2022-07-08
Logan City,36451,2022-07-08
Longreach Regional,88,2022-07-08
Mackay Regional,10725,2022-07-08
Mapoon Aboriginal Shire,67,2022-07-08
Maranoa Regional,883,2022-07-08
Mareeba Shire,4360,2022-07-08
McKinlay Shire,10,2022-07-08
Moreton Bay Regional,47756,2022-07-08
Mornington Shire,128,2022-07-08
Mount Isa City,736,2022-07-08
Murweh Shire,203,2022-07-08
Napranum Aboriginal Shire,254,2022-07-08
Noosa Shire,5153,2022-07-08
North Burnett Regional,456,2022-07-08
Northern Peninsula Area Regional,654,2022-07-08
Not Supplied,714123,2022-07-08
Palm Island Aboriginal Shire,672,2022-07-08
Paroo Shire,69,2022-07-08
Pormpuraaw Aboriginal Shire,195,2022-07-08
Quilpie Shire,27,2022-07-08
Redland City,15156,2022-07-08
Richmond Shire,33,2022-07-08
Rockhampton Regional,5887,2022-07-08
Scenic Rim Regional,2450,2022-07-08
Somerset Regional,1619,2022-07-08
South Burnett Regional,1270,2022-07-08
Southern Downs Regional,2273,2022-07-08
Sunshine Coast Regional,34489,2022-07-08
Tablelands Regional,3771,2022-07-08
Toowoomba Regional,11096,2022-07-08
Torres Shire,1199,2022-07-08
Torres Strait Island Regional,914,2022-07-08
Townsville City,24005,2022-07-08
Weipa Town,1230,2022-07-08
Western Downs Regional,1316,2022-07-08
Whitsunday Regional,2539,2022-07-08
Winton Shire,24,2022-07-08
Woorabinda Aboriginal Shire,301,2022-07-08
Wujal Wujal Aboriginal Shire,92,2022-07-08
Yarrabah Aboriginal Shire,823,2022-07-08
Total cases,1328620,2022-07-08
