Local Government Area,Total cases,Date
Aurukun Shire,94,2022-06-03
Balonne Shire,261,2022-06-03
Banana Shire,581,2022-06-03
Barcaldine Regional,59,2022-06-03
Barcoo Shire,3,2022-06-03
Blackall Tambo Regional,43,2022-06-03
Boulia Shire,11,2022-06-03
Brisbane City,127736,2022-06-03
Bulloo Shire,8,2022-06-03
Bundaberg Regional,6299,2022-06-03
Burdekin Shire,1098,2022-06-03
Burke Shire,7,2022-06-03
Cairns Regional,38938,2022-06-03
Carpentaria Shire,150,2022-06-03
Cassowary Coast Regional,4210,2022-06-03
Central Highlands Regional,1638,2022-06-03
Charters Towers Regional,264,2022-06-03
Cherbourg Aboriginal Shire,296,2022-06-03
Cloncurry Shire,127,2022-06-03
Cook Shire,885,2022-06-03
Croydon Shire,11,2022-06-03
Diamantina Shire,20,2022-06-03
Doomadgee Aboriginal Shire,155,2022-06-03
Douglas Shire,2467,2022-06-03
Etheridge Shire,49,2022-06-03
Flinders Shire,96,2022-06-03
Fraser Coast Regional,8679,2022-06-03
Gladstone Regional,3120,2022-06-03
Gold Coast City,72221,2022-06-03
Goondiwindi Regional,520,2022-06-03
Gympie Regional,3064,2022-06-03
Hinchinbrook Shire,422,2022-06-03
Hope Vale Aboriginal Shire,254,2022-06-03
Interstate/Other,14924,2022-06-03
Ipswich City,27093,2022-06-03
Isaac Regional,875,2022-06-03
Kowanyama Aboriginal Shire,155,2022-06-03
Livingstone Shire,2307,2022-06-03
Lockhart River Aboriginal Shire,115,2022-06-03
Lockyer Valley Regional,2523,2022-06-03
Logan City,34969,2022-06-03
Longreach Regional,73,2022-06-03
Mackay Regional,10258,2022-06-03
Mapoon Aboriginal Shire,62,2022-06-03
Maranoa Regional,765,2022-06-03
Mareeba Shire,3934,2022-06-03
McKinlay Shire,8,2022-06-03
Moreton Bay Regional,44971,2022-06-03
Mornington Shire,126,2022-06-03
Mount Isa City,695,2022-06-03
Murweh Shire,171,2022-06-03
Napranum Aboriginal Shire,249,2022-06-03
Noosa Shire,4879,2022-06-03
North Burnett Regional,426,2022-06-03
Northern Peninsula Area Regional,642,2022-06-03
Not Supplied,664017,2022-06-03
Palm Island Aboriginal Shire,659,2022-06-03
Paroo Shire,64,2022-06-03
Pormpuraaw Aboriginal Shire,193,2022-06-03
Quilpie Shire,23,2022-06-03
Redland City,14331,2022-06-03
Richmond Shire,33,2022-06-03
Rockhampton Regional,5643,2022-06-03
Scenic Rim Regional,2260,2022-06-03
Somerset Regional,1506,2022-06-03
South Burnett Regional,1164,2022-06-03
Southern Downs Regional,1987,2022-06-03
Sunshine Coast Regional,32954,2022-06-03
Tablelands Regional,3381,2022-06-03
Toowoomba Regional,9420,2022-06-03
Torres Shire,1185,2022-06-03
Torres Strait Island Regional,911,2022-06-03
Townsville City,21679,2022-06-03
Weipa Town,1172,2022-06-03
Western Downs Regional,1201,2022-06-03
Whitsunday Regional,2433,2022-06-03
Winton Shire,22,2022-06-03
Woorabinda Aboriginal Shire,29,2022-06-03
Wujal Wujal Aboriginal Shire,89,2022-06-03
Yarrabah Aboriginal Shire,776,2022-06-03
Total cases,1191138,2022-06-03
