Local Government Area,Total cases,Date
Aurukun Shire,92,2022-05-07
Balonne Shire,211,2022-05-07
Banana Shire,547,2022-05-07
Barcaldine Regional,49,2022-05-07
Barcoo Shire,3,2022-05-07
Blackall Tambo Regional,28,2022-05-07
Boulia Shire,11,2022-05-07
Brisbane City,119696,2022-05-07
Bulloo Shire,8,2022-05-07
Bundaberg Regional,5771,2022-05-07
Burdekin Shire,1031,2022-05-07
Burke Shire,7,2022-05-07
Cairns Regional,35322,2022-05-07
Carpentaria Shire,140,2022-05-07
Cassowary Coast Regional,3731,2022-05-07
Central Highlands Regional,1519,2022-05-07
Charters Towers Regional,260,2022-05-07
Cherbourg Aboriginal Shire,285,2022-05-07
Cloncurry Shire,123,2022-05-07
Cook Shire,824,2022-05-07
Croydon Shire,9,2022-05-07
Diamantina Shire,18,2022-05-07
Doomadgee Aboriginal Shire,154,2022-05-07
Douglas Shire,2221,2022-05-07
Etheridge Shire,27,2022-05-07
Flinders Shire,88,2022-05-07
Fraser Coast Regional,7193,2022-05-07
Gladstone Regional,2971,2022-05-07
Gold Coast City,69039,2022-05-07
Goondiwindi Regional,478,2022-05-07
Gympie Regional,2799,2022-05-07
Hinchinbrook Shire,405,2022-05-07
Hope Vale Aboriginal Shire,244,2022-05-07
Interstate/Other,14236,2022-05-07
Ipswich City,25624,2022-05-07
Isaac Regional,846,2022-05-07
Kowanyama Aboriginal Shire,139,2022-05-07
Livingstone Shire,2179,2022-05-07
Lockhart River Aboriginal Shire,111,2022-05-07
Lockyer Valley Regional,2382,2022-05-07
Logan City,33065,2022-05-07
Longreach Regional,57,2022-05-07
Mackay Regional,9329,2022-05-07
Mapoon Aboriginal Shire,58,2022-05-07
Maranoa Regional,685,2022-05-07
Mareeba Shire,3358,2022-05-07
McKinlay Shire,8,2022-05-07
Moreton Bay Regional,41805,2022-05-07
Mornington Shire,125,2022-05-07
Mount Isa City,679,2022-05-07
Murweh Shire,140,2022-05-07
Napranum Aboriginal Shire,243,2022-05-07
Noosa Shire,4602,2022-05-07
North Burnett Regional,394,2022-05-07
Northern Peninsula Area Regional,628,2022-05-07
Not Supplied,546163,2022-05-07
Palm Island Aboriginal Shire,653,2022-05-07
Paroo Shire,59,2022-05-07
Pormpuraaw Aboriginal Shire,189,2022-05-07
Quilpie Shire,22,2022-05-07
Redland City,13280,2022-05-07
Richmond Shire,28,2022-05-07
Rockhampton Regional,5283,2022-05-07
Scenic Rim Regional,2074,2022-05-07
Somerset Regional,1394,2022-05-07
South Burnett Regional,1103,2022-05-07
Southern Downs Regional,1771,2022-05-07
Sunshine Coast Regional,30795,2022-05-07
Tablelands Regional,2929,2022-05-07
Toowoomba Regional,8504,2022-05-07
Torres Shire,1161,2022-05-07
Torres Strait Island Regional,886,2022-05-07
Townsville City,19080,2022-05-07
Weipa Town,1018,2022-05-07
Western Downs Regional,1146,2022-05-07
Whitsunday Regional,2367,2022-05-07
Winton Shire,21,2022-05-07
Woorabinda Aboriginal Shire,24,2022-05-07
Wujal Wujal Aboriginal Shire,85,2022-05-07
Yarrabah Aboriginal Shire,754,2022-05-07
Total cases,1036786,2022-05-07
