Local Government Area,Total,Date
Aurukun Shire,3,2022-01-20
Balonne Shire,46,2022-01-20
Banana Shire,146,2022-01-20
Barcaldine Regional,16,2022-01-20
Barcoo Shire,2,2022-01-20
Blackall Tambo Regional,14,2022-01-20
Brisbane City,57319,2022-01-20
Bulloo Shire,3,2022-01-20
Bundaberg Regional,1173,2022-01-20
Burdekin Shire,227,2022-01-20
Burke Shire,4,2022-01-20
Cairns Regional,9693,2022-01-20
Carpentaria Shire,15,2022-01-20
Cassowary Coast Regional,746,2022-01-20
Central Highlands Regional,394,2022-01-20
Charters Towers Regional,31,2022-01-20
Cherbourg Aboriginal Shire,105,2022-01-20
Cloncurry Shire,35,2022-01-20
Cook Shire,165,2022-01-20
Croydon Shire,1,2022-01-20
Diamantina Shire,2,2022-01-20
Doomadgee Aboriginal Shire,2,2022-01-20
Douglas Shire,809,2022-01-20
Etheridge Shire,4,2022-01-20
Flinders Shire,9,2022-01-20
Fraser Coast Regional,1517,2022-01-20
Gladstone Regional,793,2022-01-20
Gold Coast City,35406,2022-01-20
Goondiwindi Regional,190,2022-01-20
Gympie Regional,741,2022-01-20
Hinchinbrook Shire,126,2022-01-20
Hope Vale Aboriginal Shire,3,2022-01-20
Interstate/Other,9891,2022-01-20
Ipswich City,10684,2022-01-20
Isaac Regional,359,2022-01-20
Kowanyama Aboriginal Shire,4,2022-01-20
Livingstone Shire,624,2022-01-20
Lockhart River Aboriginal Shire,28,2022-01-20
Lockyer Valley Regional,890,2022-01-20
Logan City,15623,2022-01-20
Longreach Regional,25,2022-01-20
Mackay Regional,2895,2022-01-20
Mapoon Aboriginal Shire,2,2022-01-20
Maranoa Regional,213,2022-01-20
Mareeba Shire,705,2022-01-20
McKinlay Shire,2,2022-01-20
Moreton Bay Regional,13253,2022-01-20
Mornington Shire,3,2022-01-20
Mount Isa City,103,2022-01-20
Murweh Shire,81,2022-01-20
Napranum Aboriginal Shire,5,2022-01-20
Noosa Shire,2237,2022-01-20
North Burnett Regional,89,2022-01-20
Northern Peninsula Area Regional,14,2022-01-20
Not Supplied,22383,2022-01-20
Palm Island Aboriginal Shire,136,2022-01-20
Paroo Shire,17,2022-01-20
Pormpuraaw Aboriginal Shire,1,2022-01-20
Quilpie Shire,9,2022-01-20
Redland City,5002,2022-01-20
Richmond Shire,2,2022-01-20
Rockhampton Regional,1187,2022-01-20
Scenic Rim Regional,775,2022-01-20
Somerset Regional,543,2022-01-20
South Burnett Regional,427,2022-01-20
Southern Downs Regional,692,2022-01-20
Sunshine Coast Regional,11912,2022-01-20
Tablelands Regional,569,2022-01-20
Toowoomba Regional,3094,2022-01-20
Torres Shire,46,2022-01-20
Torres Strait Island Regional,11,2022-01-20
Townsville City,3979,2022-01-20
Weipa Town,47,2022-01-20
Western Downs Regional,538,2022-01-20
Whitsunday Regional,1481,2022-01-20
Winton Shire,8,2022-01-20
Woorabinda Aboriginal Shire,6,2022-01-20
Wujal Wujal Aboriginal Shire,4,2022-01-20
Yarrabah Aboriginal Shire,25,2022-01-20
Total,220364,2022-01-20
