Local Government Area,Total cases,Date
Aurukun Shire,118,2022-07-26
Balonne Shire,408,2022-07-26
Banana Shire,760,2022-07-26
Barcaldine Regional,138,2022-07-26
Barcoo Shire,3,2022-07-26
Blackall Tambo Regional,75,2022-07-26
Boulia Shire,12,2022-07-26
Brisbane City,153653,2022-07-26
Bulloo Shire,11,2022-07-26
Bundaberg Regional,9569,2022-07-26
Burdekin Shire,1424,2022-07-26
Burke Shire,19,2022-07-26
Cairns Regional,43868,2022-07-26
Carpentaria Shire,164,2022-07-26
Cassowary Coast Regional,4918,2022-07-26
Central Highlands Regional,2062,2022-07-26
Charters Towers Regional,1108,2022-07-26
Cherbourg Aboriginal Shire,343,2022-07-26
Cloncurry Shire,164,2022-07-26
Cook Shire,1005,2022-07-26
Croydon Shire,17,2022-07-26
Diamantina Shire,30,2022-07-26
Doomadgee Aboriginal Shire,161,2022-07-26
Douglas Shire,2747,2022-07-26
Etheridge Shire,62,2022-07-26
Flinders Shire,174,2022-07-26
Fraser Coast Regional,11378,2022-07-26
Gladstone Regional,4665,2022-07-26
Gold Coast City,85335,2022-07-26
Goondiwindi Regional,710,2022-07-26
Gympie Regional,3854,2022-07-26
Hinchinbrook Shire,577,2022-07-26
Hope Vale Aboriginal Shire,311,2022-07-26
Interstate/Other,21291,2022-07-26
Ipswich City,29760,2022-07-26
Isaac Regional,1050,2022-07-26
Kowanyama Aboriginal Shire,182,2022-07-26
Livingstone Shire,2892,2022-07-26
Lockhart River Aboriginal Shire,134,2022-07-26
Lockyer Valley Regional,2941,2022-07-26
Logan City,40783,2022-07-26
Longreach Regional,131,2022-07-26
Mackay Regional,12618,2022-07-26
Mapoon Aboriginal Shire,78,2022-07-26
Maranoa Regional,1095,2022-07-26
Mareeba Shire,4651,2022-07-26
McKinlay Shire,20,2022-07-26
Moreton Bay Regional,54906,2022-07-26
Mornington Shire,132,2022-07-26
Mount Isa City,1848,2022-07-26
Murweh Shire,306,2022-07-26
Napranum Aboriginal Shire,263,2022-07-26
Noosa Shire,6081,2022-07-26
North Burnett Regional,622,2022-07-26
Northern Peninsula Area Regional,725,2022-07-26
Not Supplied,810818,2022-07-26
Palm Island Aboriginal Shire,709,2022-07-26
Paroo Shire,89,2022-07-26
Pormpuraaw Aboriginal Shire,203,2022-07-26
Quilpie Shire,42,2022-07-26
Redland City,16795,2022-07-26
Richmond Shire,50,2022-07-26
Rockhampton Regional,6730,2022-07-26
Scenic Rim Regional,2890,2022-07-26
Somerset Regional,1812,2022-07-26
South Burnett Regional,1545,2022-07-26
Southern Downs Regional,2920,2022-07-26
Sunshine Coast Regional,39019,2022-07-26
Tablelands Regional,4113,2022-07-26
Toowoomba Regional,16793,2022-07-26
Torres Shire,1273,2022-07-26
Torres Strait Island Regional,958,2022-07-26
Townsville City,28138,2022-07-26
Weipa Town,1355,2022-07-26
Western Downs Regional,1557,2022-07-26
Whitsunday Regional,3124,2022-07-26
Winton Shire,39,2022-07-26
Woorabinda Aboriginal Shire,311,2022-07-26
Wujal Wujal Aboriginal Shire,102,2022-07-26
Yarrabah Aboriginal Shire,880,2022-07-26
Total cases,1454617,2022-07-26
