Local Government Area,Total cases,Date
Aurukun Shire,97,2022-07-01
Balonne Shire,292,2022-07-01
Banana Shire,610,2022-07-01
Barcaldine Regional,88,2022-07-01
Barcoo Shire,3,2022-07-01
Blackall Tambo Regional,51,2022-07-01
Boulia Shire,11,2022-07-01
Brisbane City,133105,2022-07-01
Bulloo Shire,8,2022-07-01
Bundaberg Regional,6901,2022-07-01
Burdekin Shire,1175,2022-07-01
Burke Shire,7,2022-07-01
Cairns Regional,40703,2022-07-01
Carpentaria Shire,156,2022-07-01
Cassowary Coast Regional,4478,2022-07-01
Central Highlands Regional,1740,2022-07-01
Charters Towers Regional,275,2022-07-01
Cherbourg Aboriginal Shire,312,2022-07-01
Cloncurry Shire,132,2022-07-01
Cook Shire,919,2022-07-01
Croydon Shire,15,2022-07-01
Diamantina Shire,20,2022-07-01
Doomadgee Aboriginal Shire,158,2022-07-01
Douglas Shire,2580,2022-07-01
Etheridge Shire,53,2022-07-01
Flinders Shire,146,2022-07-01
Fraser Coast Regional,9908,2022-07-01
Gladstone Regional,3259,2022-07-01
Gold Coast City,74484,2022-07-01
Goondiwindi Regional,566,2022-07-01
Gympie Regional,3243,2022-07-01
Hinchinbrook Shire,437,2022-07-01
Hope Vale Aboriginal Shire,267,2022-07-01
Interstate/Other,69919,2022-07-01
Ipswich City,28186,2022-07-01
Isaac Regional,892,2022-07-01
Kowanyama Aboriginal Shire,159,2022-07-01
Livingstone Shire,2382,2022-07-01
Lockhart River Aboriginal Shire,127,2022-07-01
Lockyer Valley Regional,2675,2022-07-01
Logan City,36128,2022-07-01
Longreach Regional,83,2022-07-01
Mackay Regional,10640,2022-07-01
Mapoon Aboriginal Shire,66,2022-07-01
Maranoa Regional,854,2022-07-01
Mareeba Shire,4292,2022-07-01
McKinlay Shire,10,2022-07-01
Moreton Bay Regional,47181,2022-07-01
Mornington Shire,128,2022-07-01
Mount Isa City,729,2022-07-01
Murweh Shire,191,2022-07-01
Napranum Aboriginal Shire,253,2022-07-01
Noosa Shire,5100,2022-07-01
North Burnett Regional,450,2022-07-01
Northern Peninsula Area Regional,653,2022-07-01
Not Supplied,690776,2022-07-01
Palm Island Aboriginal Shire,667,2022-07-01
Paroo Shire,69,2022-07-01
Pormpuraaw Aboriginal Shire,194,2022-07-01
Quilpie Shire,26,2022-07-01
Redland City,14981,2022-07-01
Richmond Shire,33,2022-07-01
Rockhampton Regional,5845,2022-07-01
Scenic Rim Regional,2405,2022-07-01
Somerset Regional,1600,2022-07-01
South Burnett Regional,1251,2022-07-01
Southern Downs Regional,2219,2022-07-01
Sunshine Coast Regional,34274,2022-07-01
Tablelands Regional,3655,2022-07-01
Toowoomba Regional,10804,2022-07-01
Torres Shire,1194,2022-07-01
Torres Strait Island Regional,913,2022-07-01
Townsville City,23584,2022-07-01
Weipa Town,1216,2022-07-01
Western Downs Regional,1288,2022-07-01
Whitsunday Regional,2503,2022-07-01
Winton Shire,24,2022-07-01
Woorabinda Aboriginal Shire,301,2022-07-01
Wujal Wujal Aboriginal Shire,92,2022-07-01
Yarrabah Aboriginal Shire,820,2022-07-01
Total cases,1298031,2022-07-01
