Local Government Area,Total cases,Date
Aurukun Shire,134,2022-08-22
Balonne Shire,447,2022-08-22
Banana Shire,803,2022-08-22
Barcaldine Regional,158,2022-08-22
Barcoo Shire,4,2022-08-22
Blackall Tambo Regional,83,2022-08-22
Boulia Shire,13,2022-08-22
Brisbane City,166707,2022-08-22
Bulloo Shire,12,2022-08-22
Bundaberg Regional,10220,2022-08-22
Burdekin Shire,1459,2022-08-22
Burke Shire,27,2022-08-22
Cairns Regional,47751,2022-08-22
Carpentaria Shire,171,2022-08-22
Cassowary Coast Regional,5550,2022-08-22
Central Highlands Regional,2156,2022-08-22
Charters Towers Regional,1179,2022-08-22
Cherbourg Aboriginal Shire,352,2022-08-22
Cloncurry Shire,181,2022-08-22
Cook Shire,1136,2022-08-22
Croydon Shire,21,2022-08-22
Diamantina Shire,32,2022-08-22
Doomadgee Aboriginal Shire,174,2022-08-22
Douglas Shire,2962,2022-08-22
Etheridge Shire,65,2022-08-22
Flinders Shire,179,2022-08-22
Fraser Coast Regional,12070,2022-08-22
Gladstone Regional,4789,2022-08-22
Gold Coast City,91604,2022-08-22
Goondiwindi Regional,777,2022-08-22
Gympie Regional,4107,2022-08-22
Hinchinbrook Shire,610,2022-08-22
Hope Vale Aboriginal Shire,335,2022-08-22
Interstate/Other,20696,2022-08-22
Ipswich City,32992,2022-08-22
Isaac Regional,1079,2022-08-22
Kowanyama Aboriginal Shire,193,2022-08-22
Livingstone Shire,2972,2022-08-22
Lockhart River Aboriginal Shire,152,2022-08-22
Lockyer Valley Regional,3214,2022-08-22
Logan City,43162,2022-08-22
Longreach Regional,152,2022-08-22
Mackay Regional,13223,2022-08-22
Mapoon Aboriginal Shire,80,2022-08-22
Maranoa Regional,1164,2022-08-22
Mareeba Shire,5263,2022-08-22
McKinlay Shire,20,2022-08-22
Moreton Bay Regional,60457,2022-08-22
Mornington Shire,132,2022-08-22
Mount Isa City,1994,2022-08-22
Murweh Shire,343,2022-08-22
Napranum Aboriginal Shire,272,2022-08-22
Noosa Shire,6522,2022-08-22
North Burnett Regional,678,2022-08-22
Northern Peninsula Area Regional,770,2022-08-22
Not Supplied,900679,2022-08-22
Palm Island Aboriginal Shire,762,2022-08-22
Paroo Shire,92,2022-08-22
Pormpuraaw Aboriginal Shire,224,2022-08-22
Quilpie Shire,45,2022-08-22
Redland City,18401,2022-08-22
Richmond Shire,52,2022-08-22
Rockhampton Regional,6927,2022-08-22
Scenic Rim Regional,3135,2022-08-22
Somerset Regional,1958,2022-08-22
South Burnett Regional,1696,2022-08-22
Southern Downs Regional,3139,2022-08-22
Sunshine Coast Regional,42818,2022-08-22
Tablelands Regional,4623,2022-08-22
Toowoomba Regional,18256,2022-08-22
Torres Shire,1346,2022-08-22
Torres Strait Island Regional,1025,2022-08-22
Townsville City,28747,2022-08-22
Weipa Town,1474,2022-08-22
Western Downs Regional,1710,2022-08-22
Whitsunday Regional,3193,2022-08-22
Winton Shire,46,2022-08-22
Woorabinda Aboriginal Shire,329,2022-08-22
Wujal Wujal Aboriginal Shire,107,2022-08-22
Yarrabah Aboriginal Shire,1032,2022-08-22
Total cases,1593614,2022-08-22
