Local Government Area,Total cases,Date
Aurukun Shire,118,2022-07-24
Balonne Shire,406,2022-07-24
Banana Shire,760,2022-07-24
Barcaldine Regional,138,2022-07-24
Barcoo Shire,3,2022-07-24
Blackall Tambo Regional,75,2022-07-24
Boulia Shire,12,2022-07-24
Brisbane City,153447,2022-07-24
Bulloo Shire,11,2022-07-24
Bundaberg Regional,9559,2022-07-24
Burdekin Shire,1422,2022-07-24
Burke Shire,19,2022-07-24
Cairns Regional,43858,2022-07-24
Carpentaria Shire,164,2022-07-24
Cassowary Coast Regional,4918,2022-07-24
Central Highlands Regional,2061,2022-07-24
Charters Towers Regional,1108,2022-07-24
Cherbourg Aboriginal Shire,343,2022-07-24
Cloncurry Shire,164,2022-07-24
Cook Shire,1005,2022-07-24
Croydon Shire,17,2022-07-24
Diamantina Shire,30,2022-07-24
Doomadgee Aboriginal Shire,161,2022-07-24
Douglas Shire,2747,2022-07-24
Etheridge Shire,62,2022-07-24
Flinders Shire,174,2022-07-24
Fraser Coast Regional,11355,2022-07-24
Gladstone Regional,4664,2022-07-24
Gold Coast City,85238,2022-07-24
Goondiwindi Regional,708,2022-07-24
Gympie Regional,3853,2022-07-24
Hinchinbrook Shire,575,2022-07-24
Hope Vale Aboriginal Shire,311,2022-07-24
Interstate/Other,21129,2022-07-24
Ipswich City,29726,2022-07-24
Isaac Regional,1049,2022-07-24
Kowanyama Aboriginal Shire,182,2022-07-24
Livingstone Shire,2888,2022-07-24
Lockhart River Aboriginal Shire,134,2022-07-24
Lockyer Valley Regional,2936,2022-07-24
Logan City,40727,2022-07-24
Longreach Regional,130,2022-07-24
Mackay Regional,12606,2022-07-24
Mapoon Aboriginal Shire,78,2022-07-24
Maranoa Regional,1093,2022-07-24
Mareeba Shire,4649,2022-07-24
McKinlay Shire,20,2022-07-24
Moreton Bay Regional,54821,2022-07-24
Mornington Shire,132,2022-07-24
Mount Isa City,1848,2022-07-24
Murweh Shire,304,2022-07-24
Napranum Aboriginal Shire,263,2022-07-24
Noosa Shire,6079,2022-07-24
North Burnett Regional,620,2022-07-24
Northern Peninsula Area Regional,725,2022-07-24
Not Supplied,805539,2022-07-24
Palm Island Aboriginal Shire,709,2022-07-24
Paroo Shire,89,2022-07-24
Pormpuraaw Aboriginal Shire,203,2022-07-24
Quilpie Shire,42,2022-07-24
Redland City,16771,2022-07-24
Richmond Shire,50,2022-07-24
Rockhampton Regional,6728,2022-07-24
Scenic Rim Regional,2886,2022-07-24
Somerset Regional,1809,2022-07-24
South Burnett Regional,1543,2022-07-24
Southern Downs Regional,2920,2022-07-24
Sunshine Coast Regional,39002,2022-07-24
Tablelands Regional,4113,2022-07-24
Toowoomba Regional,16772,2022-07-24
Torres Shire,1270,2022-07-24
Torres Strait Island Regional,957,2022-07-24
Townsville City,28122,2022-07-24
Weipa Town,1355,2022-07-24
Western Downs Regional,1554,2022-07-24
Whitsunday Regional,3121,2022-07-24
Winton Shire,39,2022-07-24
Woorabinda Aboriginal Shire,311,2022-07-24
Wujal Wujal Aboriginal Shire,102,2022-07-24
Yarrabah Aboriginal Shire,879,2022-07-24
Total cases,1448511,2022-07-24
