Local Government Area,Total cases,Date
Aurukun Shire,92,2022-05-06
Balonne Shire,205,2022-05-06
Banana Shire,546,2022-05-06
Barcaldine Regional,48,2022-05-06
Barcoo Shire,3,2022-05-06
Blackall Tambo Regional,28,2022-05-06
Boulia Shire,10,2022-05-06
Brisbane City,119109,2022-05-06
Bulloo Shire,7,2022-05-06
Bundaberg Regional,5745,2022-05-06
Burdekin Shire,1028,2022-05-06
Burke Shire,7,2022-05-06
Cairns Regional,35134,2022-05-06
Carpentaria Shire,140,2022-05-06
Cassowary Coast Regional,3692,2022-05-06
Central Highlands Regional,1510,2022-05-06
Charters Towers Regional,259,2022-05-06
Cherbourg Aboriginal Shire,285,2022-05-06
Cloncurry Shire,122,2022-05-06
Cook Shire,820,2022-05-06
Croydon Shire,9,2022-05-06
Diamantina Shire,15,2022-05-06
Doomadgee Aboriginal Shire,154,2022-05-06
Douglas Shire,2215,2022-05-06
Etheridge Shire,26,2022-05-06
Flinders Shire,87,2022-05-06
Fraser Coast Regional,7146,2022-05-06
Gladstone Regional,2959,2022-05-06
Gold Coast City,68827,2022-05-06
Goondiwindi Regional,476,2022-05-06
Gympie Regional,2787,2022-05-06
Hinchinbrook Shire,403,2022-05-06
Hope Vale Aboriginal Shire,241,2022-05-06
Interstate/Other,14187,2022-05-06
Ipswich City,25492,2022-05-06
Isaac Regional,843,2022-05-06
Kowanyama Aboriginal Shire,139,2022-05-06
Livingstone Shire,2170,2022-05-06
Lockhart River Aboriginal Shire,111,2022-05-06
Lockyer Valley Regional,2358,2022-05-06
Logan City,32923,2022-05-06
Longreach Regional,56,2022-05-06
Mackay Regional,9295,2022-05-06
Mapoon Aboriginal Shire,58,2022-05-06
Maranoa Regional,683,2022-05-06
Mareeba Shire,3335,2022-05-06
McKinlay Shire,8,2022-05-06
Moreton Bay Regional,41623,2022-05-06
Mornington Shire,124,2022-05-06
Mount Isa City,677,2022-05-06
Murweh Shire,138,2022-05-06
Napranum Aboriginal Shire,243,2022-05-06
Noosa Shire,4583,2022-05-06
North Burnett Regional,392,2022-05-06
Northern Peninsula Area Regional,626,2022-05-06
Not Supplied,541830,2022-05-06
Palm Island Aboriginal Shire,653,2022-05-06
Paroo Shire,59,2022-05-06
Pormpuraaw Aboriginal Shire,189,2022-05-06
Quilpie Shire,22,2022-05-06
Redland City,13206,2022-05-06
Richmond Shire,28,2022-05-06
Rockhampton Regional,5266,2022-05-06
Scenic Rim Regional,2057,2022-05-06
Somerset Regional,1380,2022-05-06
South Burnett Regional,1101,2022-05-06
Southern Downs Regional,1757,2022-05-06
Sunshine Coast Regional,30681,2022-05-06
Tablelands Regional,2906,2022-05-06
Toowoomba Regional,8442,2022-05-06
Torres Shire,1156,2022-05-06
Torres Strait Island Regional,881,2022-05-06
Townsville City,18974,2022-05-06
Weipa Town,999,2022-05-06
Western Downs Regional,1143,2022-05-06
Whitsunday Regional,2364,2022-05-06
Winton Shire,21,2022-05-06
Woorabinda Aboriginal Shire,24,2022-05-06
Wujal Wujal Aboriginal Shire,82,2022-05-06
Yarrabah Aboriginal Shire,752,2022-05-06
Total cases,1030172,2022-05-06
