Local Government Area,Overseas acquired,Locally acquired—contact known,Locally acquired—no known contact,Interstate acquired,Under investigation,Total,Date
Aurukun Shire,0,0,0,0,4,4,2022-01-16
Balonne Shire,0,1,1,0,34,36,2022-01-16
Banana Shire,0,6,0,0,109,115,2022-01-16
Barcaldine Regional,0,0,0,0,12,12,2022-01-16
Barcoo Shire,0,0,0,0,2,2,2022-01-16
Blackall Tambo Regional,0,0,0,0,13,13,2022-01-16
Brisbane City,594,396,86,36,46723,47835,2022-01-16
Bulloo Shire,0,0,0,0,3,3,2022-01-16
Bundaberg Regional,19,8,4,0,862,893,2022-01-16
Burdekin Shire,0,0,1,0,165,166,2022-01-16
Burke Shire,0,0,0,0,3,3,2022-01-16
Cairns Regional,43,427,367,29,6497,7363,2022-01-16
Carpentaria Shire,0,0,0,0,7,7,2022-01-16
Cassowary Coast Regional,3,27,22,2,477,531,2022-01-16
Central Highlands Regional,0,4,6,1,289,300,2022-01-16
Charters Towers Regional,2,1,0,0,20,23,2022-01-16
Cherbourg Aboriginal Shire,0,38,15,0,51,104,2022-01-16
Cloncurry Shire,0,0,0,0,23,23,2022-01-16
Cook Shire,0,11,28,2,114,155,2022-01-16
Croydon Shire,0,0,0,0,1,1,2022-01-16
Diamantina Shire,0,0,0,0,2,2,2022-01-16
Doomadgee Aboriginal Shire,0,1,0,0,1,2,2022-01-16
Douglas Shire,2,29,31,3,619,684,2022-01-16
Etheridge Shire,0,0,0,0,3,3,2022-01-16
Flinders Shire,0,0,0,0,7,7,2022-01-16
Fraser Coast Regional,12,6,6,2,1119,1145,2022-01-16
Gladstone Regional,7,25,14,1,590,637,2022-01-16
Gold Coast City,193,298,418,48,26516,27473,2022-01-16
Goondiwindi Regional,2,9,3,2,143,159,2022-01-16
Gympie Regional,4,14,3,0,505,526,2022-01-16
Hinchinbrook Shire,1,0,0,0,106,107,2022-01-16
Hope Vale Aboriginal Shire,0,0,1,0,2,3,2022-01-16
Interstate/Other,168,55,69,114,7953,8359,2022-01-16
Ipswich City,32,76,33,2,8110,8253,2022-01-16
Isaac Regional,0,5,6,0,283,294,2022-01-16
Kowanyama Aboriginal Shire,0,0,0,0,4,4,2022-01-16
Livingstone Shire,4,28,9,1,423,465,2022-01-16
Lockhart River Aboriginal Shire,0,8,3,0,15,26,2022-01-16
Lockyer Valley Regional,2,10,1,0,593,606,2022-01-16
Logan City,47,37,16,12,12143,12255,2022-01-16
Longreach Regional,0,0,0,0,22,22,2022-01-16
Mackay Regional,22,20,36,3,2169,2250,2022-01-16
Mapoon Aboriginal Shire,0,0,0,0,2,2,2022-01-16
Maranoa Regional,0,6,4,1,146,157,2022-01-16
Mareeba Shire,3,38,18,2,442,503,2022-01-16
McKinlay Shire,0,0,0,0,2,2,2022-01-16
Moreton Bay Regional,119,36,18,4,10007,10184,2022-01-16
Mornington Shire,0,0,0,0,2,2,2022-01-16
Mount Isa City,0,0,0,0,61,61,2022-01-16
Murweh Shire,0,0,2,1,70,73,2022-01-16
Napranum Aboriginal Shire,0,0,1,0,4,5,2022-01-16
Noosa Shire,19,30,20,2,1736,1807,2022-01-16
North Burnett Regional,1,1,1,1,53,57,2022-01-16
Northern Peninsula Area Regional,0,0,2,1,7,10,2022-01-16
Not Supplied,65,90,114,9,17413,17691,2022-01-16
Palm Island Aboriginal Shire,0,0,0,0,23,23,2022-01-16
Paroo Shire,0,1,0,0,11,12,2022-01-16
Quilpie Shire,0,0,1,0,4,5,2022-01-16
Redland City,28,14,5,2,3840,3889,2022-01-16
Richmond Shire,0,0,0,0,2,2,2022-01-16
Rockhampton Regional,21,68,24,3,764,880,2022-01-16
Scenic Rim Regional,4,4,3,0,520,531,2022-01-16
Somerset Regional,3,2,1,1,390,397,2022-01-16
South Burnett Regional,2,26,10,1,307,346,2022-01-16
Southern Downs Regional,2,14,13,3,549,581,2022-01-16
Sunshine Coast Regional,82,74,65,20,8808,9049,2022-01-16
Tablelands Regional,5,22,21,1,385,434,2022-01-16
Toowoomba Regional,42,109,55,18,2222,2446,2022-01-16
Torres Shire,1,5,3,0,34,43,2022-01-16
Torres Strait Island Regional,0,2,0,0,7,9,2022-01-16
Townsville City,31,18,20,6,2728,2803,2022-01-16
Weipa Town,0,5,14,1,20,40,2022-01-16
Western Downs Regional,3,13,7,1,411,435,2022-01-16
Whitsunday Regional,7,17,46,2,1220,1292,2022-01-16
Winton Shire,0,0,0,0,8,8,2022-01-16
Woorabinda Aboriginal Shire,0,0,0,0,3,3,2022-01-16
Wujal Wujal Aboriginal Shire,0,2,0,0,2,4,2022-01-16
Yarrabah Aboriginal Shire,0,13,1,0,5,19,2022-01-16
Total,1595,2150,1648,338,168945,174676,2022-01-16
