Local Government Area,Total cases,Date
Aurukun Shire,94,2022-05-26
Balonne Shire,248,2022-05-26
Banana Shire,572,2022-05-26
Barcaldine Regional,58,2022-05-26
Barcoo Shire,3,2022-05-26
Blackall Tambo Regional,37,2022-05-26
Boulia Shire,11,2022-05-26
Brisbane City,125950,2022-05-26
Bulloo Shire,8,2022-05-26
Bundaberg Regional,6160,2022-05-26
Burdekin Shire,1071,2022-05-26
Burke Shire,7,2022-05-26
Cairns Regional,38229,2022-05-26
Carpentaria Shire,148,2022-05-26
Cassowary Coast Regional,4118,2022-05-26
Central Highlands Regional,1619,2022-05-26
Charters Towers Regional,265,2022-05-26
Cherbourg Aboriginal Shire,292,2022-05-26
Cloncurry Shire,126,2022-05-26
Cook Shire,874,2022-05-26
Croydon Shire,11,2022-05-26
Diamantina Shire,19,2022-05-26
Doomadgee Aboriginal Shire,155,2022-05-26
Douglas Shire,2410,2022-05-26
Etheridge Shire,46,2022-05-26
Flinders Shire,96,2022-05-26
Fraser Coast Regional,8324,2022-05-26
Gladstone Regional,3081,2022-05-26
Gold Coast City,71583,2022-05-26
Goondiwindi Regional,501,2022-05-26
Gympie Regional,2984,2022-05-26
Hinchinbrook Shire,419,2022-05-26
Hope Vale Aboriginal Shire,251,2022-05-26
Interstate/Other,14719,2022-05-26
Ipswich City,26705,2022-05-26
Isaac Regional,870,2022-05-26
Kowanyama Aboriginal Shire,152,2022-05-26
Livingstone Shire,2281,2022-05-26
Lockhart River Aboriginal Shire,111,2022-05-26
Lockyer Valley Regional,2476,2022-05-26
Logan City,34521,2022-05-26
Longreach Regional,70,2022-05-26
Mackay Regional,9988,2022-05-26
Mapoon Aboriginal Shire,62,2022-05-26
Maranoa Regional,741,2022-05-26
Mareeba Shire,3822,2022-05-26
McKinlay Shire,8,2022-05-26
Moreton Bay Regional,44279,2022-05-26
Mornington Shire,126,2022-05-26
Mount Isa City,692,2022-05-26
Murweh Shire,165,2022-05-26
Napranum Aboriginal Shire,248,2022-05-26
Noosa Shire,4820,2022-05-26
North Burnett Regional,418,2022-05-26
Northern Peninsula Area Regional,641,2022-05-26
Not Supplied,641069,2022-05-26
Palm Island Aboriginal Shire,656,2022-05-26
Paroo Shire,63,2022-05-26
Pormpuraaw Aboriginal Shire,193,2022-05-26
Quilpie Shire,23,2022-05-26
Redland City,14076,2022-05-26
Richmond Shire,29,2022-05-26
Rockhampton Regional,5582,2022-05-26
Scenic Rim Regional,2203,2022-05-26
Somerset Regional,1479,2022-05-26
South Burnett Regional,1149,2022-05-26
Southern Downs Regional,1938,2022-05-26
Sunshine Coast Regional,32497,2022-05-26
Tablelands Regional,3271,2022-05-26
Toowoomba Regional,9156,2022-05-26
Torres Shire,1185,2022-05-26
Torres Strait Island Regional,911,2022-05-26
Townsville City,21037,2022-05-26
Weipa Town,1153,2022-05-26
Western Downs Regional,1185,2022-05-26
Whitsunday Regional,2415,2022-05-26
Winton Shire,22,2022-05-26
Woorabinda Aboriginal Shire,26,2022-05-26
Wujal Wujal Aboriginal Shire,87,2022-05-26
Yarrabah Aboriginal Shire,770,2022-05-26
Total cases,1159860,2022-05-26
