Local Government Area,Total,Date
Aurukun Shire,5,2022-01-24
Balonne Shire,62,2022-01-24
Banana Shire,175,2022-01-24
Barcaldine Regional,16,2022-01-24
Barcoo Shire,2,2022-01-24
Blackall Tambo Regional,16,2022-01-24
Brisbane City,64526,2022-01-24
Bulloo Shire,3,2022-01-24
Bundaberg Regional,1507,2022-01-24
Burdekin Shire,359,2022-01-24
Burke Shire,4,2022-01-24
Cairns Regional,11766,2022-01-24
Carpentaria Shire,15,2022-01-24
Cassowary Coast Regional,1023,2022-01-24
Central Highlands Regional,506,2022-01-24
Charters Towers Regional,43,2022-01-24
Cherbourg Aboriginal Shire,106,2022-01-24
Cloncurry Shire,48,2022-01-24
Cook Shire,167,2022-01-24
Croydon Shire,1,2022-01-24
Diamantina Shire,2,2022-01-24
Doomadgee Aboriginal Shire,3,2022-01-24
Douglas Shire,939,2022-01-24
Etheridge Shire,4,2022-01-24
Flinders Shire,10,2022-01-24
Fraser Coast Regional,1851,2022-01-24
Gladstone Regional,928,2022-01-24
Gold Coast City,40866,2022-01-24
Goondiwindi Regional,223,2022-01-24
Gympie Regional,923,2022-01-24
Hinchinbrook Shire,155,2022-01-24
Hope Vale Aboriginal Shire,3,2022-01-24
Interstate/Other,10723,2022-01-24
Ipswich City,12311,2022-01-24
Isaac Regional,405,2022-01-24
Kowanyama Aboriginal Shire,6,2022-01-24
Livingstone Shire,770,2022-01-24
Lockhart River Aboriginal Shire,32,2022-01-24
Lockyer Valley Regional,1068,2022-01-24
Logan City,18399,2022-01-24
Longreach Regional,25,2022-01-24
Mackay Regional,3456,2022-01-24
Mapoon Aboriginal Shire,2,2022-01-24
Maranoa Regional,256,2022-01-24
Mareeba Shire,932,2022-01-24
McKinlay Shire,3,2022-01-24
Moreton Bay Regional,16497,2022-01-24
Mornington Shire,4,2022-01-24
Mount Isa City,128,2022-01-24
Murweh Shire,83,2022-01-24
Napranum Aboriginal Shire,5,2022-01-24
Noosa Shire,2603,2022-01-24
North Burnett Regional,112,2022-01-24
Northern Peninsula Area Regional,18,2022-01-24
Not Supplied,26692,2022-01-24
Palm Island Aboriginal Shire,149,2022-01-24
Paroo Shire,20,2022-01-24
Pormpuraaw Aboriginal Shire,1,2022-01-24
Quilpie Shire,9,2022-01-24
Redland City,5877,2022-01-24
Richmond Shire,2,2022-01-24
Rockhampton Regional,1531,2022-01-24
Scenic Rim Regional,915,2022-01-24
Somerset Regional,644,2022-01-24
South Burnett Regional,500,2022-01-24
Southern Downs Regional,779,2022-01-24
Sunshine Coast Regional,14216,2022-01-24
Tablelands Regional,664,2022-01-24
Toowoomba Regional,3505,2022-01-24
Torres Shire,54,2022-01-24
Torres Strait Island Regional,19,2022-01-24
Townsville City,5220,2022-01-24
Weipa Town,57,2022-01-24
Western Downs Regional,639,2022-01-24
Whitsunday Regional,1608,2022-01-24
Winton Shire,8,2022-01-24
Woorabinda Aboriginal Shire,6,2022-01-24
Wujal Wujal Aboriginal Shire,4,2022-01-24
Yarrabah Aboriginal Shire,70,2022-01-24
Total,257284,2022-01-24
