Local Government Area,Total,Date
Aurukun Shire,33,2022-01-27
Balonne Shire,75,2022-01-27
Banana Shire,201,2022-01-27
Barcaldine Regional,16,2022-01-27
Barcoo Shire,2,2022-01-27
Blackall Tambo Regional,17,2022-01-27
Brisbane City,68619,2022-01-27
Bulloo Shire,3,2022-01-27
Bundaberg Regional,1701,2022-01-27
Burdekin Shire,399,2022-01-27
Burke Shire,4,2022-01-27
Cairns Regional,12623,2022-01-27
Carpentaria Shire,18,2022-01-27
Cassowary Coast Regional,1136,2022-01-27
Central Highlands Regional,568,2022-01-27
Charters Towers Regional,46,2022-01-27
Cherbourg Aboriginal Shire,127,2022-01-27
Cloncurry Shire,55,2022-01-27
Cook Shire,233,2022-01-27
Croydon Shire,1,2022-01-27
Diamantina Shire,2,2022-01-27
Doomadgee Aboriginal Shire,3,2022-01-27
Douglas Shire,968,2022-01-27
Etheridge Shire,4,2022-01-27
Flinders Shire,16,2022-01-27
Fraser Coast Regional,2054,2022-01-27
Gladstone Regional,1000,2022-01-27
Gold Coast City,43722,2022-01-27
Goondiwindi Regional,251,2022-01-27
Gympie Regional,1016,2022-01-27
Hinchinbrook Shire,162,2022-01-27
Hope Vale Aboriginal Shire,8,2022-01-27
Interstate/Other,11092,2022-01-27
Ipswich City,13405,2022-01-27
Isaac Regional,443,2022-01-27
Kowanyama Aboriginal Shire,23,2022-01-27
Livingstone Shire,906,2022-01-27
Lockhart River Aboriginal Shire,60,2022-01-27
Lockyer Valley Regional,1208,2022-01-27
Logan City,20104,2022-01-27
Longreach Regional,26,2022-01-27
Mackay Regional,3928,2022-01-27
Mapoon Aboriginal Shire,6,2022-01-27
Maranoa Regional,285,2022-01-27
Mareeba Shire,1018,2022-01-27
McKinlay Shire,3,2022-01-27
Moreton Bay Regional,18689,2022-01-27
Mornington Shire,4,2022-01-27
Mount Isa City,139,2022-01-27
Murweh Shire,83,2022-01-27
Napranum Aboriginal Shire,19,2022-01-27
Noosa Shire,2821,2022-01-27
North Burnett Regional,155,2022-01-27
Northern Peninsula Area Regional,177,2022-01-27
Not Supplied,119673,2022-01-27
Palm Island Aboriginal Shire,210,2022-01-27
Paroo Shire,25,2022-01-27
Pormpuraaw Aboriginal Shire,1,2022-01-27
Quilpie Shire,9,2022-01-27
Redland City,6457,2022-01-27
Richmond Shire,3,2022-01-27
Rockhampton Regional,1775,2022-01-27
Scenic Rim Regional,1014,2022-01-27
Somerset Regional,734,2022-01-27
South Burnett Regional,556,2022-01-27
Southern Downs Regional,855,2022-01-27
Sunshine Coast Regional,15498,2022-01-27
Tablelands Regional,740,2022-01-27
Toowoomba Regional,3773,2022-01-27
Torres Shire,218,2022-01-27
Torres Strait Island Regional,136,2022-01-27
Townsville City,5686,2022-01-27
Weipa Town,126,2022-01-27
Western Downs Regional,695,2022-01-27
Whitsunday Regional,1675,2022-01-27
Winton Shire,8,2022-01-27
Woorabinda Aboriginal Shire,7,2022-01-27
Wujal Wujal Aboriginal Shire,6,2022-01-27
Yarrabah Aboriginal Shire,340,2022-01-27
Total,369897,2022-01-27
