Local Government Area,Total cases,Date
Aurukun Shire,94,2022-04-16
Balonne Shire,163,2022-04-16
Banana Shire,518,2022-04-16
Barcaldine Regional,31,2022-04-16
Barcoo Shire,2,2022-04-16
Blackall Tambo Regional,21,2022-04-16
Boulia Shire,9,2022-04-16
Brisbane City,110754,2022-04-16
Bulloo Shire,7,2022-04-16
Bundaberg Regional,5264,2022-04-16
Burdekin Shire,991,2022-04-16
Burke Shire,8,2022-04-16
Cairns Regional,30179,2022-04-16
Carpentaria Shire,139,2022-04-16
Cassowary Coast Regional,3210,2022-04-16
Central Highlands Regional,1410,2022-04-16
Charters Towers Regional,243,2022-04-16
Cherbourg Aboriginal Shire,237,2022-04-16
Cloncurry Shire,116,2022-04-16
Cook Shire,722,2022-04-16
Croydon Shire,4,2022-04-16
Diamantina Shire,4,2022-04-16
Doomadgee Aboriginal Shire,154,2022-04-16
Douglas Shire,1949,2022-04-16
Etheridge Shire,22,2022-04-16
Flinders Shire,75,2022-04-16
Fraser Coast Regional,6085,2022-04-16
Gladstone Regional,2814,2022-04-16
Gold Coast City,65054,2022-04-16
Goondiwindi Regional,463,2022-04-16
Gympie Regional,2475,2022-04-16
Hinchinbrook Shire,355,2022-04-16
Hope Vale Aboriginal Shire,234,2022-04-16
Interstate/Other,13501,2022-04-16
Ipswich City,23615,2022-04-16
Isaac Regional,807,2022-04-16
Kowanyama Aboriginal Shire,140,2022-04-16
Livingstone Shire,2034,2022-04-16
Lockhart River Aboriginal Shire,108,2022-04-16
Lockyer Valley Regional,2170,2022-04-16
Logan City,31163,2022-04-16
Longreach Regional,44,2022-04-16
Mackay Regional,8558,2022-04-16
Mapoon Aboriginal Shire,56,2022-04-16
Maranoa Regional,596,2022-04-16
Mareeba Shire,2802,2022-04-16
McKinlay Shire,8,2022-04-16
Moreton Bay Regional,38373,2022-04-16
Mornington Shire,123,2022-04-16
Mount Isa City,670,2022-04-16
Murweh Shire,115,2022-04-16
Napranum Aboriginal Shire,236,2022-04-16
Noosa Shire,4223,2022-04-16
North Burnett Regional,363,2022-04-16
Northern Peninsula Area Regional,605,2022-04-16
Not Supplied,452344,2022-04-16
Palm Island Aboriginal Shire,641,2022-04-16
Paroo Shire,53,2022-04-16
Pormpuraaw Aboriginal Shire,186,2022-04-16
Quilpie Shire,15,2022-04-16
Redland City,12279,2022-04-16
Richmond Shire,24,2022-04-16
Rockhampton Regional,4933,2022-04-16
Scenic Rim Regional,1869,2022-04-16
Somerset Regional,1269,2022-04-16
South Burnett Regional,1036,2022-04-16
Southern Downs Regional,1599,2022-04-16
Sunshine Coast Regional,28243,2022-04-16
Tablelands Regional,2539,2022-04-16
Toowoomba Regional,7403,2022-04-16
Torres Shire,1083,2022-04-16
Torres Strait Island Regional,833,2022-04-16
Townsville City,17277,2022-04-16
Weipa Town,854,2022-04-16
Western Downs Regional,1104,2022-04-16
Whitsunday Regional,2302,2022-04-16
Winton Shire,18,2022-04-16
Woorabinda Aboriginal Shire,17,2022-04-16
Wujal Wujal Aboriginal Shire,70,2022-04-16
Yarrabah Aboriginal Shire,729,2022-04-16
Total cases,902836,2022-04-16
