Local Government Area,Total cases,Date
Aurukun Shire,89,2022-03-15
Balonne Shire,135,2022-03-15
Banana Shire,427,2022-03-15
Barcaldine Regional,21,2022-03-15
Barcoo Shire,2,2022-03-15
Blackall Tambo Regional,20,2022-03-15
Boulia Shire,9,2022-03-15
Brisbane City,91018,2022-03-15
Bulloo Shire,5,2022-03-15
Bundaberg Regional,3737,2022-03-15
Burdekin Shire,906,2022-03-15
Burke Shire,4,2022-03-15
Cairns Regional,20260,2022-03-15
Carpentaria Shire,122,2022-03-15
Cassowary Coast Regional,2190,2022-03-15
Central Highlands Regional,1114,2022-03-15
Charters Towers Regional,224,2022-03-15
Cherbourg Aboriginal Shire,207,2022-03-15
Cloncurry Shire,95,2022-03-15
Cook Shire,530,2022-03-15
Croydon Shire,4,2022-03-15
Diamantina Shire,2,2022-03-15
Doomadgee Aboriginal Shire,142,2022-03-15
Douglas Shire,1389,2022-03-15
Etheridge Shire,9,2022-03-15
Flinders Shire,71,2022-03-15
Fraser Coast Regional,3838,2022-03-15
Gladstone Regional,1988,2022-03-15
Gold Coast City,57163,2022-03-15
Goondiwindi Regional,415,2022-03-15
Gympie Regional,1856,2022-03-15
Hinchinbrook Shire,315,2022-03-15
Hope Vale Aboriginal Shire,130,2022-03-15
Interstate/Other,12573,2022-03-15
Ipswich City,18812,2022-03-15
Isaac Regional,701,2022-03-15
Kowanyama Aboriginal Shire,136,2022-03-15
Livingstone Shire,1644,2022-03-15
Lockhart River Aboriginal Shire,102,2022-03-15
Lockyer Valley Regional,1718,2022-03-15
Logan City,27368,2022-03-15
Longreach Regional,35,2022-03-15
Mackay Regional,6950,2022-03-15
Mapoon Aboriginal Shire,51,2022-03-15
Maranoa Regional,486,2022-03-15
Mareeba Shire,2043,2022-03-15
McKinlay Shire,7,2022-03-15
Moreton Bay Regional,30154,2022-03-15
Mornington Shire,118,2022-03-15
Mount Isa City,636,2022-03-15
Murweh Shire,90,2022-03-15
Napranum Aboriginal Shire,224,2022-03-15
Noosa Shire,3636,2022-03-15
North Burnett Regional,255,2022-03-15
Northern Peninsula Area Regional,554,2022-03-15
Not Supplied,268139,2022-03-15
Palm Island Aboriginal Shire,594,2022-03-15
Paroo Shire,38,2022-03-15
Pormpuraaw Aboriginal Shire,181,2022-03-15
Quilpie Shire,13,2022-03-15
Redland City,10116,2022-03-15
Richmond Shire,15,2022-03-15
Rockhampton Regional,3856,2022-03-15
Scenic Rim Regional,1518,2022-03-15
Somerset Regional,1058,2022-03-15
South Burnett Regional,897,2022-03-15
Southern Downs Regional,1362,2022-03-15
Sunshine Coast Regional,22957,2022-03-15
Tablelands Regional,1331,2022-03-15
Toowoomba Regional,5533,2022-03-15
Torres Shire,805,2022-03-15
Torres Strait Island Regional,544,2022-03-15
Townsville City,13747,2022-03-15
Weipa Town,626,2022-03-15
Western Downs Regional,963,2022-03-15
Whitsunday Regional,2174,2022-03-15
Winton Shire,16,2022-03-15
Woorabinda Aboriginal Shire,15,2022-03-15
Wujal Wujal Aboriginal Shire,54,2022-03-15
Yarrabah Aboriginal Shire,690,2022-03-15
Total cases,633972,2022-03-15
