Local Government Area,Total cases,Date
Aurukun Shire,88,2022-03-08
Balonne Shire,117,2022-03-08
Banana Shire,403,2022-03-08
Barcaldine Regional,20,2022-03-08
Barcoo Shire,2,2022-03-08
Blackall Tambo Regional,20,2022-03-08
Boulia Shire,9,2022-03-08
Brisbane City,89393,2022-03-08
Bulloo Shire,5,2022-03-08
Bundaberg Regional,3466,2022-03-08
Burdekin Shire,886,2022-03-08
Burke Shire,4,2022-03-08
Cairns Regional,19489,2022-03-08
Carpentaria Shire,121,2022-03-08
Cassowary Coast Regional,1939,2022-03-08
Central Highlands Regional,1078,2022-03-08
Charters Towers Regional,216,2022-03-08
Cherbourg Aboriginal Shire,206,2022-03-08
Cloncurry Shire,88,2022-03-08
Cook Shire,476,2022-03-08
Croydon Shire,2,2022-03-08
Diamantina Shire,2,2022-03-08
Doomadgee Aboriginal Shire,137,2022-03-08
Douglas Shire,1360,2022-03-08
Etheridge Shire,9,2022-03-08
Flinders Shire,70,2022-03-08
Fraser Coast Regional,3607,2022-03-08
Gladstone Regional,1779,2022-03-08
Gold Coast City,56301,2022-03-08
Goondiwindi Regional,413,2022-03-08
Gympie Regional,1831,2022-03-08
Hinchinbrook Shire,308,2022-03-08
Hope Vale Aboriginal Shire,94,2022-03-08
Interstate/Other,12445,2022-03-08
Ipswich City,18494,2022-03-08
Isaac Regional,687,2022-03-08
Kowanyama Aboriginal Shire,136,2022-03-08
Livingstone Shire,1556,2022-03-08
Lockhart River Aboriginal Shire,102,2022-03-08
Lockyer Valley Regional,1703,2022-03-08
Logan City,26928,2022-03-08
Longreach Regional,34,2022-03-08
Mackay Regional,6667,2022-03-08
Mapoon Aboriginal Shire,45,2022-03-08
Maranoa Regional,468,2022-03-08
Mareeba Shire,1968,2022-03-08
McKinlay Shire,7,2022-03-08
Moreton Bay Regional,29368,2022-03-08
Mornington Shire,103,2022-03-08
Mount Isa City,627,2022-03-08
Murweh Shire,89,2022-03-08
Napranum Aboriginal Shire,218,2022-03-08
Noosa Shire,3569,2022-03-08
North Burnett Regional,240,2022-03-08
Northern Peninsula Area Regional,537,2022-03-08
Not Supplied,246746,2022-03-08
Palm Island Aboriginal Shire,594,2022-03-08
Paroo Shire,37,2022-03-08
Pormpuraaw Aboriginal Shire,179,2022-03-08
Quilpie Shire,13,2022-03-08
Redland City,9848,2022-03-08
Richmond Shire,14,2022-03-08
Rockhampton Regional,3618,2022-03-08
Scenic Rim Regional,1496,2022-03-08
Somerset Regional,1046,2022-03-08
South Burnett Regional,885,2022-03-08
Southern Downs Regional,1316,2022-03-08
Sunshine Coast Regional,22494,2022-03-08
Tablelands Regional,1149,2022-03-08
Toowoomba Regional,5358,2022-03-08
Torres Shire,764,2022-03-08
Torres Strait Island Regional,512,2022-03-08
Townsville City,12857,2022-03-08
Weipa Town,592,2022-03-08
Western Downs Regional,910,2022-03-08
Whitsunday Regional,2147,2022-03-08
Winton Shire,15,2022-03-08
Woorabinda Aboriginal Shire,15,2022-03-08
Wujal Wujal Aboriginal Shire,48,2022-03-08
Yarrabah Aboriginal Shire,681,2022-03-08
Total cases,603264,2022-03-08
