Local Government Area,Total cases,Date
Aurukun Shire,103,2022-07-09
Balonne Shire,322,2022-07-09
Banana Shire,623,2022-07-09
Barcaldine Regional,99,2022-07-09
Barcoo Shire,3,2022-07-09
Blackall Tambo Regional,53,2022-07-09
Boulia Shire,11,2022-07-09
Brisbane City,135157,2022-07-09
Bulloo Shire,8,2022-07-09
Bundaberg Regional,7074,2022-07-09
Burdekin Shire,1188,2022-07-09
Burke Shire,7,2022-07-09
Cairns Regional,41551,2022-07-09
Carpentaria Shire,157,2022-07-09
Cassowary Coast Regional,4605,2022-07-09
Central Highlands Regional,1766,2022-07-09
Charters Towers Regional,279,2022-07-09
Cherbourg Aboriginal Shire,324,2022-07-09
Cloncurry Shire,134,2022-07-09
Cook Shire,940,2022-07-09
Croydon Shire,15,2022-07-09
Diamantina Shire,20,2022-07-09
Doomadgee Aboriginal Shire,158,2022-07-09
Douglas Shire,2628,2022-07-09
Etheridge Shire,54,2022-07-09
Flinders Shire,152,2022-07-09
Fraser Coast Regional,10092,2022-07-09
Gladstone Regional,3308,2022-07-09
Gold Coast City,75484,2022-07-09
Goondiwindi Regional,581,2022-07-09
Gympie Regional,3276,2022-07-09
Hinchinbrook Shire,442,2022-07-09
Hope Vale Aboriginal Shire,271,2022-07-09
Interstate/Other,16073,2022-07-09
Ipswich City,28556,2022-07-09
Isaac Regional,904,2022-07-09
Kowanyama Aboriginal Shire,168,2022-07-09
Livingstone Shire,2401,2022-07-09
Lockhart River Aboriginal Shire,127,2022-07-09
Lockyer Valley Regional,2731,2022-07-09
Logan City,36591,2022-07-09
Longreach Regional,88,2022-07-09
Mackay Regional,10759,2022-07-09
Mapoon Aboriginal Shire,67,2022-07-09
Maranoa Regional,892,2022-07-09
Mareeba Shire,4386,2022-07-09
McKinlay Shire,11,2022-07-09
Moreton Bay Regional,47995,2022-07-09
Mornington Shire,128,2022-07-09
Mount Isa City,739,2022-07-09
Murweh Shire,213,2022-07-09
Napranum Aboriginal Shire,254,2022-07-09
Noosa Shire,5179,2022-07-09
North Burnett Regional,457,2022-07-09
Northern Peninsula Area Regional,654,2022-07-09
Not Supplied,777320,2022-07-09
Palm Island Aboriginal Shire,676,2022-07-09
Paroo Shire,71,2022-07-09
Pormpuraaw Aboriginal Shire,195,2022-07-09
Quilpie Shire,27,2022-07-09
Redland City,15236,2022-07-09
Richmond Shire,34,2022-07-09
Rockhampton Regional,5901,2022-07-09
Scenic Rim Regional,2463,2022-07-09
Somerset Regional,1628,2022-07-09
South Burnett Regional,1278,2022-07-09
Southern Downs Regional,2292,2022-07-09
Sunshine Coast Regional,34573,2022-07-09
Tablelands Regional,3823,2022-07-09
Toowoomba Regional,11204,2022-07-09
Torres Shire,1203,2022-07-09
Torres Strait Island Regional,916,2022-07-09
Townsville City,24228,2022-07-09
Weipa Town,1245,2022-07-09
Western Downs Regional,1319,2022-07-09
Whitsunday Regional,2543,2022-07-09
Winton Shire,25,2022-07-09
Woorabinda Aboriginal Shire,303,2022-07-09
Wujal Wujal Aboriginal Shire,92,2022-07-09
Yarrabah Aboriginal Shire,826,2022-07-09
Total cases,1339679,2022-07-09
