Local Government Area,Total cases,Date
Aurukun Shire,92,2022-05-13
Balonne Shire,224,2022-05-13
Banana Shire,558,2022-05-13
Barcaldine Regional,52,2022-05-13
Barcoo Shire,3,2022-05-13
Blackall Tambo Regional,28,2022-05-13
Boulia Shire,11,2022-05-13
Brisbane City,121958,2022-05-13
Bulloo Shire,8,2022-05-13
Bundaberg Regional,5888,2022-05-13
Burdekin Shire,1038,2022-05-13
Burke Shire,7,2022-05-13
Cairns Regional,36627,2022-05-13
Carpentaria Shire,144,2022-05-13
Cassowary Coast Regional,3922,2022-05-13
Central Highlands Regional,1542,2022-05-13
Charters Towers Regional,262,2022-05-13
Cherbourg Aboriginal Shire,286,2022-05-13
Cloncurry Shire,126,2022-05-13
Cook Shire,837,2022-05-13
Croydon Shire,9,2022-05-13
Diamantina Shire,18,2022-05-13
Doomadgee Aboriginal Shire,154,2022-05-13
Douglas Shire,2291,2022-05-13
Etheridge Shire,38,2022-05-13
Flinders Shire,92,2022-05-13
Fraser Coast Regional,7540,2022-05-13
Gladstone Regional,3018,2022-05-13
Gold Coast City,70034,2022-05-13
Goondiwindi Regional,480,2022-05-13
Gympie Regional,2888,2022-05-13
Hinchinbrook Shire,411,2022-05-13
Hope Vale Aboriginal Shire,244,2022-05-13
Interstate/Other,14377,2022-05-13
Ipswich City,25999,2022-05-13
Isaac Regional,854,2022-05-13
Kowanyama Aboriginal Shire,140,2022-05-13
Livingstone Shire,2218,2022-05-13
Lockhart River Aboriginal Shire,111,2022-05-13
Lockyer Valley Regional,2416,2022-05-13
Logan City,33613,2022-05-13
Longreach Regional,66,2022-05-13
Mackay Regional,9506,2022-05-13
Mapoon Aboriginal Shire,58,2022-05-13
Maranoa Regional,708,2022-05-13
Mareeba Shire,3592,2022-05-13
McKinlay Shire,8,2022-05-13
Moreton Bay Regional,42608,2022-05-13
Mornington Shire,125,2022-05-13
Mount Isa City,681,2022-05-13
Murweh Shire,154,2022-05-13
Napranum Aboriginal Shire,244,2022-05-13
Noosa Shire,4686,2022-05-13
North Burnett Regional,400,2022-05-13
Northern Peninsula Area Regional,632,2022-05-13
Not Supplied,570959,2022-05-13
Palm Island Aboriginal Shire,654,2022-05-13
Paroo Shire,60,2022-05-13
Pormpuraaw Aboriginal Shire,189,2022-05-13
Quilpie Shire,23,2022-05-13
Redland City,13577,2022-05-13
Richmond Shire,29,2022-05-13
Rockhampton Regional,5368,2022-05-13
Scenic Rim Regional,2123,2022-05-13
Somerset Regional,1432,2022-05-13
South Burnett Regional,1115,2022-05-13
Southern Downs Regional,1823,2022-05-13
Sunshine Coast Regional,31382,2022-05-13
Tablelands Regional,3072,2022-05-13
Toowoomba Regional,8715,2022-05-13
Torres Shire,1171,2022-05-13
Torres Strait Island Regional,889,2022-05-13
Townsville City,19616,2022-05-13
Weipa Town,1098,2022-05-13
Western Downs Regional,1153,2022-05-13
Whitsunday Regional,2384,2022-05-13
Winton Shire,21,2022-05-13
Woorabinda Aboriginal Shire,25,2022-05-13
Wujal Wujal Aboriginal Shire,86,2022-05-13
Yarrabah Aboriginal Shire,760,2022-05-13
Total cases,1071750,2022-05-13
