Local Government Area,Total cases,Date
Aurukun Shire,85,2022-02-23
Balonne Shire,99,2022-02-23
Banana Shire,355,2022-02-23
Barcaldine Regional,18,2022-02-23
Barcoo Shire,2,2022-02-23
Blackall Tambo Regional,20,2022-02-23
Boulia Shire,3,2022-02-23
Brisbane City,85916,2022-02-23
Bulloo Shire,5,2022-02-23
Bundaberg Regional,2995,2022-02-23
Burdekin Shire,823,2022-02-23
Burke Shire,4,2022-02-23
Cairns Regional,17708,2022-02-23
Carpentaria Shire,119,2022-02-23
Cassowary Coast Regional,1801,2022-02-23
Central Highlands Regional,993,2022-02-23
Charters Towers Regional,197,2022-02-23
Cherbourg Aboriginal Shire,200,2022-02-23
Cloncurry Shire,82,2022-02-23
Cook Shire,397,2022-02-23
Croydon Shire,2,2022-02-23
Diamantina Shire,2,2022-02-23
Doomadgee Aboriginal Shire,128,2022-02-23
Douglas Shire,1291,2022-02-23
Etheridge Shire,9,2022-02-23
Flinders Shire,68,2022-02-23
Fraser Coast Regional,3258,2022-02-23
Gladstone Regional,1544,2022-02-23
Gold Coast City,54262,2022-02-23
Goondiwindi Regional,398,2022-02-23
Gympie Regional,1716,2022-02-23
Hinchinbrook Shire,280,2022-02-23
Hope Vale Aboriginal Shire,47,2022-02-23
Interstate/Other,12319,2022-02-23
Ipswich City,17817,2022-02-23
Isaac Regional,638,2022-02-23
Kowanyama Aboriginal Shire,131,2022-02-23
Livingstone Shire,1459,2022-02-23
Lockhart River Aboriginal Shire,99,2022-02-23
Lockyer Valley Regional,1668,2022-02-23
Logan City,25997,2022-02-23
Longreach Regional,29,2022-02-23
Mackay Regional,6096,2022-02-23
Mapoon Aboriginal Shire,40,2022-02-23
Maranoa Regional,437,2022-02-23
Mareeba Shire,1763,2022-02-23
McKinlay Shire,6,2022-02-23
Moreton Bay Regional,27608,2022-02-23
Mornington Shire,92,2022-02-23
Mount Isa City,599,2022-02-23
Murweh Shire,88,2022-02-23
Napranum Aboriginal Shire,160,2022-02-23
Noosa Shire,3485,2022-02-23
North Burnett Regional,226,2022-02-23
Northern Peninsula Area Regional,492,2022-02-23
Not Supplied,206241,2022-02-23
Palm Island Aboriginal Shire,522,2022-02-23
Paroo Shire,34,2022-02-23
Pormpuraaw Aboriginal Shire,150,2022-02-23
Quilpie Shire,13,2022-02-23
Redland City,9262,2022-02-23
Richmond Shire,12,2022-02-23
Rockhampton Regional,3134,2022-02-23
Scenic Rim Regional,1437,2022-02-23
Somerset Regional,1021,2022-02-23
South Burnett Regional,848,2022-02-23
Southern Downs Regional,1226,2022-02-23
Sunshine Coast Regional,21530,2022-02-23
Tablelands Regional,1064,2022-02-23
Toowoomba Regional,5067,2022-02-23
Torres Shire,603,2022-02-23
Torres Strait Island Regional,435,2022-02-23
Townsville City,11176,2022-02-23
Weipa Town,413,2022-02-23
Western Downs Regional,868,2022-02-23
Whitsunday Regional,2061,2022-02-23
Winton Shire,14,2022-02-23
Woorabinda Aboriginal Shire,13,2022-02-23
Wujal Wujal Aboriginal Shire,43,2022-02-23
Yarrabah Aboriginal Shire,658,2022-02-23
Total cases,543921,2022-02-23
