Local Government Area,Total cases,Date
Aurukun Shire,98,2022-07-07
Balonne Shire,309,2022-07-07
Banana Shire,618,2022-07-07
Barcaldine Regional,94,2022-07-07
Barcoo Shire,3,2022-07-07
Blackall Tambo Regional,52,2022-07-07
Boulia Shire,11,2022-07-07
Brisbane City,134517,2022-07-07
Bulloo Shire,8,2022-07-07
Bundaberg Regional,7026,2022-07-07
Burdekin Shire,1183,2022-07-07
Burke Shire,7,2022-07-07
Cairns Regional,41300,2022-07-07
Carpentaria Shire,156,2022-07-07
Cassowary Coast Regional,4572,2022-07-07
Central Highlands Regional,1758,2022-07-07
Charters Towers Regional,276,2022-07-07
Cherbourg Aboriginal Shire,323,2022-07-07
Cloncurry Shire,133,2022-07-07
Cook Shire,935,2022-07-07
Croydon Shire,15,2022-07-07
Diamantina Shire,20,2022-07-07
Doomadgee Aboriginal Shire,158,2022-07-07
Douglas Shire,2618,2022-07-07
Etheridge Shire,54,2022-07-07
Flinders Shire,150,2022-07-07
Fraser Coast Regional,10039,2022-07-07
Gladstone Regional,3290,2022-07-07
Gold Coast City,75200,2022-07-07
Goondiwindi Regional,579,2022-07-07
Gympie Regional,3267,2022-07-07
Hinchinbrook Shire,439,2022-07-07
Hope Vale Aboriginal Shire,270,2022-07-07
Interstate/Other,70907,2022-07-07
Ipswich City,28436,2022-07-07
Isaac Regional,896,2022-07-07
Kowanyama Aboriginal Shire,165,2022-07-07
Livingstone Shire,2396,2022-07-07
Lockhart River Aboriginal Shire,127,2022-07-07
Lockyer Valley Regional,2718,2022-07-07
Logan City,36451,2022-07-07
Longreach Regional,88,2022-07-07
Mackay Regional,10725,2022-07-07
Mapoon Aboriginal Shire,67,2022-07-07
Maranoa Regional,883,2022-07-07
Mareeba Shire,4360,2022-07-07
McKinlay Shire,10,2022-07-07
Moreton Bay Regional,47756,2022-07-07
Mornington Shire,128,2022-07-07
Mount Isa City,736,2022-07-07
Murweh Shire,203,2022-07-07
Napranum Aboriginal Shire,254,2022-07-07
Noosa Shire,5153,2022-07-07
North Burnett Regional,456,2022-07-07
Northern Peninsula Area Regional,654,2022-07-07
Not Supplied,714123,2022-07-07
Palm Island Aboriginal Shire,672,2022-07-07
Paroo Shire,69,2022-07-07
Pormpuraaw Aboriginal Shire,195,2022-07-07
Quilpie Shire,27,2022-07-07
Redland City,15156,2022-07-07
Richmond Shire,33,2022-07-07
Rockhampton Regional,5887,2022-07-07
Scenic Rim Regional,2450,2022-07-07
Somerset Regional,1619,2022-07-07
South Burnett Regional,1270,2022-07-07
Southern Downs Regional,2273,2022-07-07
Sunshine Coast Regional,34489,2022-07-07
Tablelands Regional,3771,2022-07-07
Toowoomba Regional,11096,2022-07-07
Torres Shire,1199,2022-07-07
Torres Strait Island Regional,914,2022-07-07
Townsville City,24005,2022-07-07
Weipa Town,1230,2022-07-07
Western Downs Regional,1316,2022-07-07
Whitsunday Regional,2539,2022-07-07
Winton Shire,24,2022-07-07
Woorabinda Aboriginal Shire,301,2022-07-07
Wujal Wujal Aboriginal Shire,92,2022-07-07
Yarrabah Aboriginal Shire,823,2022-07-07
Total cases,1328620,2022-07-07
