Local Government Area,Total cases,Date
Aurukun Shire,88,2022-03-09
Balonne Shire,128,2022-03-09
Banana Shire,407,2022-03-09
Barcaldine Regional,20,2022-03-09
Barcoo Shire,2,2022-03-09
Blackall Tambo Regional,20,2022-03-09
Boulia Shire,9,2022-03-09
Brisbane City,89700,2022-03-09
Bulloo Shire,5,2022-03-09
Bundaberg Regional,3497,2022-03-09
Burdekin Shire,886,2022-03-09
Burke Shire,4,2022-03-09
Cairns Regional,19608,2022-03-09
Carpentaria Shire,121,2022-03-09
Cassowary Coast Regional,1948,2022-03-09
Central Highlands Regional,1081,2022-03-09
Charters Towers Regional,217,2022-03-09
Cherbourg Aboriginal Shire,206,2022-03-09
Cloncurry Shire,91,2022-03-09
Cook Shire,482,2022-03-09
Croydon Shire,2,2022-03-09
Diamantina Shire,2,2022-03-09
Doomadgee Aboriginal Shire,141,2022-03-09
Douglas Shire,1368,2022-03-09
Etheridge Shire,9,2022-03-09
Flinders Shire,70,2022-03-09
Fraser Coast Regional,3645,2022-03-09
Gladstone Regional,1813,2022-03-09
Gold Coast City,56477,2022-03-09
Goondiwindi Regional,414,2022-03-09
Gympie Regional,1833,2022-03-09
Hinchinbrook Shire,311,2022-03-09
Hope Vale Aboriginal Shire,103,2022-03-09
Interstate/Other,12460,2022-03-09
Ipswich City,18566,2022-03-09
Isaac Regional,688,2022-03-09
Kowanyama Aboriginal Shire,136,2022-03-09
Livingstone Shire,1572,2022-03-09
Lockhart River Aboriginal Shire,102,2022-03-09
Lockyer Valley Regional,1707,2022-03-09
Logan City,27024,2022-03-09
Longreach Regional,34,2022-03-09
Mackay Regional,6713,2022-03-09
Mapoon Aboriginal Shire,46,2022-03-09
Maranoa Regional,469,2022-03-09
Mareeba Shire,1990,2022-03-09
McKinlay Shire,7,2022-03-09
Moreton Bay Regional,29538,2022-03-09
Mornington Shire,110,2022-03-09
Mount Isa City,627,2022-03-09
Murweh Shire,89,2022-03-09
Napranum Aboriginal Shire,221,2022-03-09
Noosa Shire,3588,2022-03-09
North Burnett Regional,240,2022-03-09
Northern Peninsula Area Regional,539,2022-03-09
Not Supplied,249855,2022-03-09
Palm Island Aboriginal Shire,594,2022-03-09
Paroo Shire,37,2022-03-09
Pormpuraaw Aboriginal Shire,179,2022-03-09
Quilpie Shire,13,2022-03-09
Redland City,9913,2022-03-09
Richmond Shire,14,2022-03-09
Rockhampton Regional,3659,2022-03-09
Scenic Rim Regional,1500,2022-03-09
Somerset Regional,1046,2022-03-09
South Burnett Regional,885,2022-03-09
Southern Downs Regional,1337,2022-03-09
Sunshine Coast Regional,22555,2022-03-09
Tablelands Regional,1151,2022-03-09
Toowoomba Regional,5395,2022-03-09
Torres Shire,775,2022-03-09
Torres Strait Island Regional,517,2022-03-09
Townsville City,13039,2022-03-09
Weipa Town,597,2022-03-09
Western Downs Regional,918,2022-03-09
Whitsunday Regional,2149,2022-03-09
Winton Shire,15,2022-03-09
Woorabinda Aboriginal Shire,15,2022-03-09
Wujal Wujal Aboriginal Shire,48,2022-03-09
Yarrabah Aboriginal Shire,683,2022-03-09
Total cases,608063,2022-03-09
