Local Government Area,Total cases,Date
Aurukun Shire,94,2022-04-10
Balonne Shire,155,2022-04-10
Banana Shire,505,2022-04-10
Barcaldine Regional,26,2022-04-10
Barcoo Shire,2,2022-04-10
Blackall Tambo Regional,21,2022-04-10
Boulia Shire,9,2022-04-10
Brisbane City,107477,2022-04-10
Bulloo Shire,7,2022-04-10
Bundaberg Regional,5079,2022-04-10
Burdekin Shire,968,2022-04-10
Burke Shire,8,2022-04-10
Cairns Regional,28554,2022-04-10
Carpentaria Shire,138,2022-04-10
Cassowary Coast Regional,3038,2022-04-10
Central Highlands Regional,1353,2022-04-10
Charters Towers Regional,239,2022-04-10
Cherbourg Aboriginal Shire,225,2022-04-10
Cloncurry Shire,113,2022-04-10
Cook Shire,695,2022-04-10
Croydon Shire,4,2022-04-10
Diamantina Shire,4,2022-04-10
Doomadgee Aboriginal Shire,154,2022-04-10
Douglas Shire,1835,2022-04-10
Etheridge Shire,21,2022-04-10
Flinders Shire,74,2022-04-10
Fraser Coast Regional,5622,2022-04-10
Gladstone Regional,2768,2022-04-10
Gold Coast City,63642,2022-04-10
Goondiwindi Regional,455,2022-04-10
Gympie Regional,2349,2022-04-10
Hinchinbrook Shire,349,2022-04-10
Hope Vale Aboriginal Shire,224,2022-04-10
Interstate/Other,13265,2022-04-10
Ipswich City,22869,2022-04-10
Isaac Regional,787,2022-04-10
Kowanyama Aboriginal Shire,139,2022-04-10
Livingstone Shire,2000,2022-04-10
Lockhart River Aboriginal Shire,105,2022-04-10
Lockyer Valley Regional,2068,2022-04-10
Logan City,30462,2022-04-10
Longreach Regional,43,2022-04-10
Mackay Regional,8251,2022-04-10
Mapoon Aboriginal Shire,55,2022-04-10
Maranoa Regional,568,2022-04-10
Mareeba Shire,2661,2022-04-10
McKinlay Shire,8,2022-04-10
Moreton Bay Regional,37003,2022-04-10
Mornington Shire,122,2022-04-10
Mount Isa City,669,2022-04-10
Murweh Shire,105,2022-04-10
Napranum Aboriginal Shire,235,2022-04-10
Noosa Shire,4108,2022-04-10
North Burnett Regional,331,2022-04-10
Northern Peninsula Area Regional,601,2022-04-10
Not Supplied,420707,2022-04-10
Palm Island Aboriginal Shire,640,2022-04-10
Paroo Shire,50,2022-04-10
Pormpuraaw Aboriginal Shire,183,2022-04-10
Quilpie Shire,15,2022-04-10
Redland City,11900,2022-04-10
Richmond Shire,23,2022-04-10
Rockhampton Regional,4784,2022-04-10
Scenic Rim Regional,1813,2022-04-10
Somerset Regional,1243,2022-04-10
South Burnett Regional,1008,2022-04-10
Southern Downs Regional,1558,2022-04-10
Sunshine Coast Regional,27296,2022-04-10
Tablelands Regional,2365,2022-04-10
Toowoomba Regional,7039,2022-04-10
Torres Shire,1035,2022-04-10
Torres Strait Island Regional,783,2022-04-10
Townsville City,16792,2022-04-10
Weipa Town,806,2022-04-10
Western Downs Regional,1083,2022-04-10
Whitsunday Regional,2273,2022-04-10
Winton Shire,18,2022-04-10
Woorabinda Aboriginal Shire,17,2022-04-10
Wujal Wujal Aboriginal Shire,64,2022-04-10
Yarrabah Aboriginal Shire,722,2022-04-10
Total cases,856879,2022-04-10
