Local Government Area,Total,Date
Aurukun Shire,5,2022-01-25
Balonne Shire,62,2022-01-25
Banana Shire,180,2022-01-25
Barcaldine Regional,16,2022-01-25
Barcoo Shire,2,2022-01-25
Blackall Tambo Regional,16,2022-01-25
Brisbane City,65695,2022-01-25
Bulloo Shire,3,2022-01-25
Bundaberg Regional,1560,2022-01-25
Burdekin Shire,365,2022-01-25
Burke Shire,4,2022-01-25
Cairns Regional,11906,2022-01-25
Carpentaria Shire,15,2022-01-25
Cassowary Coast Regional,1056,2022-01-25
Central Highlands Regional,523,2022-01-25
Charters Towers Regional,43,2022-01-25
Cherbourg Aboriginal Shire,110,2022-01-25
Cloncurry Shire,51,2022-01-25
Cook Shire,164,2022-01-25
Croydon Shire,1,2022-01-25
Diamantina Shire,2,2022-01-25
Doomadgee Aboriginal Shire,3,2022-01-25
Douglas Shire,944,2022-01-25
Etheridge Shire,4,2022-01-25
Flinders Shire,10,2022-01-25
Fraser Coast Regional,1931,2022-01-25
Gladstone Regional,939,2022-01-25
Gold Coast City,41728,2022-01-25
Goondiwindi Regional,228,2022-01-25
Gympie Regional,941,2022-01-25
Hinchinbrook Shire,156,2022-01-25
Hope Vale Aboriginal Shire,3,2022-01-25
Interstate/Other,10830,2022-01-25
Ipswich City,12588,2022-01-25
Isaac Regional,409,2022-01-25
Kowanyama Aboriginal Shire,6,2022-01-25
Livingstone Shire,792,2022-01-25
Lockhart River Aboriginal Shire,32,2022-01-25
Lockyer Valley Regional,1110,2022-01-25
Logan City,18746,2022-01-25
Longreach Regional,25,2022-01-25
Mackay Regional,3575,2022-01-25
Mapoon Aboriginal Shire,2,2022-01-25
Maranoa Regional,267,2022-01-25
Mareeba Shire,942,2022-01-25
McKinlay Shire,3,2022-01-25
Moreton Bay Regional,17290,2022-01-25
Mornington Shire,4,2022-01-25
Mount Isa City,131,2022-01-25
Murweh Shire,83,2022-01-25
Napranum Aboriginal Shire,5,2022-01-25
Noosa Shire,2646,2022-01-25
North Burnett Regional,150,2022-01-25
Northern Peninsula Area Regional,18,2022-01-25
Not Supplied,27284,2022-01-25
Palm Island Aboriginal Shire,149,2022-01-25
Paroo Shire,22,2022-01-25
Pormpuraaw Aboriginal Shire,1,2022-01-25
Quilpie Shire,9,2022-01-25
Redland City,5995,2022-01-25
Richmond Shire,2,2022-01-25
Rockhampton Regional,1604,2022-01-25
Scenic Rim Regional,933,2022-01-25
Somerset Regional,665,2022-01-25
South Burnett Regional,511,2022-01-25
Southern Downs Regional,801,2022-01-25
Sunshine Coast Regional,14379,2022-01-25
Tablelands Regional,690,2022-01-25
Toowoomba Regional,3608,2022-01-25
Torres Shire,54,2022-01-25
Torres Strait Island Regional,19,2022-01-25
Townsville City,5402,2022-01-25
Weipa Town,56,2022-01-25
Western Downs Regional,655,2022-01-25
Whitsunday Regional,1637,2022-01-25
Winton Shire,8,2022-01-25
Woorabinda Aboriginal Shire,7,2022-01-25
Wujal Wujal Aboriginal Shire,4,2022-01-25
Yarrabah Aboriginal Shire,126,2022-01-25
Total,262941,2022-01-25
