Local Government Area,Total cases,Date
Aurukun Shire,136,2022-11-08
Balonne Shire,457,2022-11-08
Banana Shire,809,2022-11-08
Barcaldine Regional,164,2022-11-08
Barcoo Shire,4,2022-11-08
Blackall Tambo Regional,83,2022-11-08
Boulia Shire,14,2022-11-08
Brisbane City,168497,2022-11-08
Bulloo Shire,12,2022-11-08
Bundaberg Regional,10497,2022-11-08
Burdekin Shire,1466,2022-11-08
Burke Shire,28,2022-11-08
Cairns Regional,48930,2022-11-08
Carpentaria Shire,170,2022-11-08
Cassowary Coast Regional,5723,2022-11-08
Central Highlands Regional,2172,2022-11-08
Charters Towers Regional,1189,2022-11-08
Cherbourg Aboriginal Shire,391,2022-11-08
Cloncurry Shire,183,2022-11-08
Cook Shire,1164,2022-11-08
Croydon Shire,23,2022-11-08
Diamantina Shire,32,2022-11-08
Doomadgee Aboriginal Shire,175,2022-11-08
Douglas Shire,3033,2022-11-08
Etheridge Shire,68,2022-11-08
Flinders Shire,181,2022-11-08
Fraser Coast Regional,12418,2022-11-08
Gladstone Regional,4822,2022-11-08
Gold Coast City,92424,2022-11-08
Goondiwindi Regional,791,2022-11-08
Gympie Regional,4152,2022-11-08
Hinchinbrook Shire,618,2022-11-08
Hope Vale Aboriginal Shire,339,2022-11-08
Interstate/Other,21028,2022-11-08
Ipswich City,33308,2022-11-08
Isaac Regional,1087,2022-11-08
Kowanyama Aboriginal Shire,196,2022-11-08
Livingstone Shire,2989,2022-11-08
Lockhart River Aboriginal Shire,157,2022-11-08
Lockyer Valley Regional,3285,2022-11-08
Logan City,43554,2022-11-08
Longreach Regional,154,2022-11-08
Mackay Regional,13300,2022-11-08
Mapoon Aboriginal Shire,82,2022-11-08
Maranoa Regional,1208,2022-11-08
Mareeba Shire,5533,2022-11-08
McKinlay Shire,22,2022-11-08
Moreton Bay Regional,61528,2022-11-08
Mornington Shire,136,2022-11-08
Mount Isa City,2051,2022-11-08
Murweh Shire,349,2022-11-08
Napranum Aboriginal Shire,277,2022-11-08
Noosa Shire,6592,2022-11-08
North Burnett Regional,717,2022-11-08
Northern Peninsula Area Regional,774,2022-11-08
Not Supplied,920632,2022-11-08
Palm Island Aboriginal Shire,763,2022-11-08
Paroo Shire,94,2022-11-08
Pormpuraaw Aboriginal Shire,228,2022-11-08
Quilpie Shire,46,2022-11-08
Redland City,18618,2022-11-08
Richmond Shire,51,2022-11-08
Rockhampton Regional,6977,2022-11-08
Scenic Rim Regional,3169,2022-11-08
Somerset Regional,1985,2022-11-08
South Burnett Regional,1736,2022-11-08
Southern Downs Regional,3200,2022-11-08
Sunshine Coast Regional,43147,2022-11-08
Tablelands Regional,4798,2022-11-08
Toowoomba Regional,18505,2022-11-08
Torres Shire,1366,2022-11-08
Torres Strait Island Regional,1050,2022-11-08
Townsville City,28910,2022-11-08
Weipa Town,1507,2022-11-08
Western Downs Regional,1737,2022-11-08
Whitsunday Regional,3215,2022-11-08
Winton Shire,46,2022-11-08
Woorabinda Aboriginal Shire,331,2022-11-08
Wujal Wujal Aboriginal Shire,111,2022-11-08
Yarrabah Aboriginal Shire,1271,2022-11-08
Total cases,1622985,2022-11-08
