Local Government Area,Total cases,Date
Aurukun Shire,118,2022-07-25
Balonne Shire,408,2022-07-25
Banana Shire,760,2022-07-25
Barcaldine Regional,138,2022-07-25
Barcoo Shire,3,2022-07-25
Blackall Tambo Regional,75,2022-07-25
Boulia Shire,12,2022-07-25
Brisbane City,153653,2022-07-25
Bulloo Shire,11,2022-07-25
Bundaberg Regional,9569,2022-07-25
Burdekin Shire,1424,2022-07-25
Burke Shire,19,2022-07-25
Cairns Regional,43868,2022-07-25
Carpentaria Shire,164,2022-07-25
Cassowary Coast Regional,4918,2022-07-25
Central Highlands Regional,2062,2022-07-25
Charters Towers Regional,1108,2022-07-25
Cherbourg Aboriginal Shire,343,2022-07-25
Cloncurry Shire,164,2022-07-25
Cook Shire,1005,2022-07-25
Croydon Shire,17,2022-07-25
Diamantina Shire,30,2022-07-25
Doomadgee Aboriginal Shire,161,2022-07-25
Douglas Shire,2747,2022-07-25
Etheridge Shire,62,2022-07-25
Flinders Shire,174,2022-07-25
Fraser Coast Regional,11378,2022-07-25
Gladstone Regional,4665,2022-07-25
Gold Coast City,85335,2022-07-25
Goondiwindi Regional,710,2022-07-25
Gympie Regional,3854,2022-07-25
Hinchinbrook Shire,577,2022-07-25
Hope Vale Aboriginal Shire,311,2022-07-25
Interstate/Other,21291,2022-07-25
Ipswich City,29760,2022-07-25
Isaac Regional,1050,2022-07-25
Kowanyama Aboriginal Shire,182,2022-07-25
Livingstone Shire,2892,2022-07-25
Lockhart River Aboriginal Shire,134,2022-07-25
Lockyer Valley Regional,2941,2022-07-25
Logan City,40783,2022-07-25
Longreach Regional,131,2022-07-25
Mackay Regional,12618,2022-07-25
Mapoon Aboriginal Shire,78,2022-07-25
Maranoa Regional,1095,2022-07-25
Mareeba Shire,4651,2022-07-25
McKinlay Shire,20,2022-07-25
Moreton Bay Regional,54906,2022-07-25
Mornington Shire,132,2022-07-25
Mount Isa City,1848,2022-07-25
Murweh Shire,306,2022-07-25
Napranum Aboriginal Shire,263,2022-07-25
Noosa Shire,6081,2022-07-25
North Burnett Regional,622,2022-07-25
Northern Peninsula Area Regional,725,2022-07-25
Not Supplied,810818,2022-07-25
Palm Island Aboriginal Shire,709,2022-07-25
Paroo Shire,89,2022-07-25
Pormpuraaw Aboriginal Shire,203,2022-07-25
Quilpie Shire,42,2022-07-25
Redland City,16795,2022-07-25
Richmond Shire,50,2022-07-25
Rockhampton Regional,6730,2022-07-25
Scenic Rim Regional,2890,2022-07-25
Somerset Regional,1812,2022-07-25
South Burnett Regional,1545,2022-07-25
Southern Downs Regional,2920,2022-07-25
Sunshine Coast Regional,39019,2022-07-25
Tablelands Regional,4113,2022-07-25
Toowoomba Regional,16793,2022-07-25
Torres Shire,1273,2022-07-25
Torres Strait Island Regional,958,2022-07-25
Townsville City,28138,2022-07-25
Weipa Town,1355,2022-07-25
Western Downs Regional,1557,2022-07-25
Whitsunday Regional,3124,2022-07-25
Winton Shire,39,2022-07-25
Woorabinda Aboriginal Shire,311,2022-07-25
Wujal Wujal Aboriginal Shire,102,2022-07-25
Yarrabah Aboriginal Shire,880,2022-07-25
Total cases,1454617,2022-07-25
