Local Government Area,Total cases,Date
Aurukun Shire,136,2022-12-19
Balonne Shire,457,2022-12-19
Banana Shire,809,2022-12-19
Barcaldine Regional,164,2022-12-19
Barcoo Shire,4,2022-12-19
Blackall Tambo Regional,83,2022-12-19
Boulia Shire,14,2022-12-19
Brisbane City,168497,2022-12-19
Bulloo Shire,12,2022-12-19
Bundaberg Regional,10497,2022-12-19
Burdekin Shire,1466,2022-12-19
Burke Shire,28,2022-12-19
Cairns Regional,48930,2022-12-19
Carpentaria Shire,170,2022-12-19
Cassowary Coast Regional,5723,2022-12-19
Central Highlands Regional,2172,2022-12-19
Charters Towers Regional,1189,2022-12-19
Cherbourg Aboriginal Shire,391,2022-12-19
Cloncurry Shire,183,2022-12-19
Cook Shire,1164,2022-12-19
Croydon Shire,23,2022-12-19
Diamantina Shire,32,2022-12-19
Doomadgee Aboriginal Shire,175,2022-12-19
Douglas Shire,3033,2022-12-19
Etheridge Shire,68,2022-12-19
Flinders Shire,181,2022-12-19
Fraser Coast Regional,12418,2022-12-19
Gladstone Regional,4822,2022-12-19
Gold Coast City,92424,2022-12-19
Goondiwindi Regional,791,2022-12-19
Gympie Regional,4152,2022-12-19
Hinchinbrook Shire,618,2022-12-19
Hope Vale Aboriginal Shire,339,2022-12-19
Interstate/Other,21028,2022-12-19
Ipswich City,33308,2022-12-19
Isaac Regional,1087,2022-12-19
Kowanyama Aboriginal Shire,196,2022-12-19
Livingstone Shire,2989,2022-12-19
Lockhart River Aboriginal Shire,157,2022-12-19
Lockyer Valley Regional,3285,2022-12-19
Logan City,43554,2022-12-19
Longreach Regional,154,2022-12-19
Mackay Regional,13300,2022-12-19
Mapoon Aboriginal Shire,82,2022-12-19
Maranoa Regional,1208,2022-12-19
Mareeba Shire,5533,2022-12-19
McKinlay Shire,22,2022-12-19
Moreton Bay Regional,61528,2022-12-19
Mornington Shire,136,2022-12-19
Mount Isa City,2051,2022-12-19
Murweh Shire,349,2022-12-19
Napranum Aboriginal Shire,277,2022-12-19
Noosa Shire,6592,2022-12-19
North Burnett Regional,717,2022-12-19
Northern Peninsula Area Regional,774,2022-12-19
Not Supplied,920632,2022-12-19
Palm Island Aboriginal Shire,763,2022-12-19
Paroo Shire,94,2022-12-19
Pormpuraaw Aboriginal Shire,228,2022-12-19
Quilpie Shire,46,2022-12-19
Redland City,18618,2022-12-19
Richmond Shire,51,2022-12-19
Rockhampton Regional,6977,2022-12-19
Scenic Rim Regional,3169,2022-12-19
Somerset Regional,1985,2022-12-19
South Burnett Regional,1736,2022-12-19
Southern Downs Regional,3200,2022-12-19
Sunshine Coast Regional,43147,2022-12-19
Tablelands Regional,4798,2022-12-19
Toowoomba Regional,18505,2022-12-19
Torres Shire,1366,2022-12-19
Torres Strait Island Regional,1050,2022-12-19
Townsville City,28910,2022-12-19
Weipa Town,1507,2022-12-19
Western Downs Regional,1737,2022-12-19
Whitsunday Regional,3215,2022-12-19
Winton Shire,46,2022-12-19
Woorabinda Aboriginal Shire,331,2022-12-19
Wujal Wujal Aboriginal Shire,111,2022-12-19
Yarrabah Aboriginal Shire,1271,2022-12-19
Total cases,1622985,2022-12-19
