Local Government Area,Total cases,Date
Aurukun Shire,114,2022-07-20
Balonne Shire,394,2022-07-20
Banana Shire,745,2022-07-20
Barcaldine Regional,135,2022-07-20
Barcoo Shire,3,2022-07-20
Blackall Tambo Regional,75,2022-07-20
Boulia Shire,12,2022-07-20
Brisbane City,151746,2022-07-20
Bulloo Shire,9,2022-07-20
Bundaberg Regional,9413,2022-07-20
Burdekin Shire,1404,2022-07-20
Burke Shire,19,2022-07-20
Cairns Regional,43218,2022-07-20
Carpentaria Shire,162,2022-07-20
Cassowary Coast Regional,4822,2022-07-20
Central Highlands Regional,2038,2022-07-20
Charters Towers Regional,1095,2022-07-20
Cherbourg Aboriginal Shire,332,2022-07-20
Cloncurry Shire,163,2022-07-20
Cook Shire,981,2022-07-20
Croydon Shire,16,2022-07-20
Diamantina Shire,27,2022-07-20
Doomadgee Aboriginal Shire,161,2022-07-20
Douglas Shire,2709,2022-07-20
Etheridge Shire,61,2022-07-20
Flinders Shire,173,2022-07-20
Fraser Coast Regional,11187,2022-07-20
Gladstone Regional,4630,2022-07-20
Gold Coast City,84480,2022-07-20
Goondiwindi Regional,696,2022-07-20
Gympie Regional,3817,2022-07-20
Hinchinbrook Shire,568,2022-07-20
Hope Vale Aboriginal Shire,306,2022-07-20
Interstate/Other,20685,2022-07-20
Ipswich City,29466,2022-07-20
Isaac Regional,1038,2022-07-20
Kowanyama Aboriginal Shire,180,2022-07-20
Livingstone Shire,2867,2022-07-20
Lockhart River Aboriginal Shire,131,2022-07-20
Lockyer Valley Regional,2874,2022-07-20
Logan City,40175,2022-07-20
Longreach Regional,124,2022-07-20
Mackay Regional,12487,2022-07-20
Mapoon Aboriginal Shire,78,2022-07-20
Maranoa Regional,1074,2022-07-20
Mareeba Shire,4558,2022-07-20
McKinlay Shire,21,2022-07-20
Moreton Bay Regional,54220,2022-07-20
Mornington Shire,131,2022-07-20
Mount Isa City,1829,2022-07-20
Murweh Shire,295,2022-07-20
Napranum Aboriginal Shire,262,2022-07-20
Noosa Shire,6024,2022-07-20
North Burnett Regional,609,2022-07-20
Northern Peninsula Area Regional,694,2022-07-20
Not Supplied,779176,2022-07-20
Palm Island Aboriginal Shire,699,2022-07-20
Paroo Shire,89,2022-07-20
Pormpuraaw Aboriginal Shire,202,2022-07-20
Quilpie Shire,42,2022-07-20
Redland City,16587,2022-07-20
Richmond Shire,49,2022-07-20
Rockhampton Regional,6667,2022-07-20
Scenic Rim Regional,2836,2022-07-20
Somerset Regional,1778,2022-07-20
South Burnett Regional,1507,2022-07-20
Southern Downs Regional,2874,2022-07-20
Sunshine Coast Regional,38710,2022-07-20
Tablelands Regional,4016,2022-07-20
Toowoomba Regional,16431,2022-07-20
Torres Shire,1249,2022-07-20
Torres Strait Island Regional,950,2022-07-20
Townsville City,27717,2022-07-20
Weipa Town,1337,2022-07-20
Western Downs Regional,1519,2022-07-20
Whitsunday Regional,3099,2022-07-20
Winton Shire,37,2022-07-20
Woorabinda Aboriginal Shire,308,2022-07-20
Wujal Wujal Aboriginal Shire,102,2022-07-20
Yarrabah Aboriginal Shire,868,2022-07-20
Total cases,1414382,2022-07-20
