Local Government Area,Total cases,Date
Aurukun Shire,86,2022-02-24
Balonne Shire,100,2022-02-24
Banana Shire,359,2022-02-24
Barcaldine Regional,18,2022-02-24
Barcoo Shire,2,2022-02-24
Blackall Tambo Regional,20,2022-02-24
Boulia Shire,3,2022-02-24
Brisbane City,86334,2022-02-24
Bulloo Shire,5,2022-02-24
Bundaberg Regional,3057,2022-02-24
Burdekin Shire,828,2022-02-24
Burke Shire,4,2022-02-24
Cairns Regional,17964,2022-02-24
Carpentaria Shire,120,2022-02-24
Cassowary Coast Regional,1804,2022-02-24
Central Highlands Regional,1007,2022-02-24
Charters Towers Regional,198,2022-02-24
Cherbourg Aboriginal Shire,203,2022-02-24
Cloncurry Shire,82,2022-02-24
Cook Shire,402,2022-02-24
Croydon Shire,2,2022-02-24
Diamantina Shire,2,2022-02-24
Doomadgee Aboriginal Shire,132,2022-02-24
Douglas Shire,1298,2022-02-24
Etheridge Shire,9,2022-02-24
Flinders Shire,68,2022-02-24
Fraser Coast Regional,3292,2022-02-24
Gladstone Regional,1574,2022-02-24
Gold Coast City,54451,2022-02-24
Goondiwindi Regional,400,2022-02-24
Gympie Regional,1739,2022-02-24
Hinchinbrook Shire,285,2022-02-24
Hope Vale Aboriginal Shire,57,2022-02-24
Interstate/Other,12320,2022-02-24
Ipswich City,17912,2022-02-24
Isaac Regional,642,2022-02-24
Kowanyama Aboriginal Shire,131,2022-02-24
Livingstone Shire,1475,2022-02-24
Lockhart River Aboriginal Shire,100,2022-02-24
Lockyer Valley Regional,1677,2022-02-24
Logan City,26149,2022-02-24
Longreach Regional,31,2022-02-24
Mackay Regional,6164,2022-02-24
Mapoon Aboriginal Shire,41,2022-02-24
Maranoa Regional,437,2022-02-24
Mareeba Shire,1780,2022-02-24
McKinlay Shire,6,2022-02-24
Moreton Bay Regional,27861,2022-02-24
Mornington Shire,98,2022-02-24
Mount Isa City,603,2022-02-24
Murweh Shire,89,2022-02-24
Napranum Aboriginal Shire,166,2022-02-24
Noosa Shire,3506,2022-02-24
North Burnett Regional,229,2022-02-24
Northern Peninsula Area Regional,498,2022-02-24
Not Supplied,209968,2022-02-24
Palm Island Aboriginal Shire,540,2022-02-24
Paroo Shire,35,2022-02-24
Pormpuraaw Aboriginal Shire,160,2022-02-24
Quilpie Shire,13,2022-02-24
Redland City,9331,2022-02-24
Richmond Shire,14,2022-02-24
Rockhampton Regional,3167,2022-02-24
Scenic Rim Regional,1446,2022-02-24
Somerset Regional,1026,2022-02-24
South Burnett Regional,852,2022-02-24
Southern Downs Regional,1234,2022-02-24
Sunshine Coast Regional,21659,2022-02-24
Tablelands Regional,1067,2022-02-24
Toowoomba Regional,5092,2022-02-24
Torres Shire,631,2022-02-24
Torres Strait Island Regional,442,2022-02-24
Townsville City,11317,2022-02-24
Weipa Town,426,2022-02-24
Western Downs Regional,877,2022-02-24
Whitsunday Regional,2080,2022-02-24
Winton Shire,14,2022-02-24
Woorabinda Aboriginal Shire,13,2022-02-24
Wujal Wujal Aboriginal Shire,43,2022-02-24
Yarrabah Aboriginal Shire,668,2022-02-24
Total cases,549935,2022-02-24
